Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Estonia,Tallinn,2024,5,21.529411764705884,43.1764705882353,4.668338,1019.8823529411765,84.11764705882354
Estonia,Tallinn,2024,6,19.366666666666667,57.03333333333333,4.787075333333334,1011.1,77.83333333333333
Estonia,Tallinn,2024,7,20.785714285714285,64.5,4.729204500000001,1010.9285714285714,71.60714285714286
Estonia,Tallinn,2024,8,20.80322580645161,64.25806451612904,4.9453800645161285,1012.0645161290323,72.90322580645162
Estonia,Tallinn,2024,9,18.720000000000002,65.86666666666666,4.100958733333334,1017.9666666666667,76.66666666666667
Estonia,Tallinn,2024,10,10.567741935483872,72.54838709677419,5.771551548387097,1015.6451612903226,68.54838709677419
Estonia,Tallinn,2024,11,5.0233333333333325,83.63333333333334,6.773202333333334,1009.2666666666667,59.666666666666664
Estonia,Tallinn,2024,12,2.0064516129032257,83.45161290322581,6.4552487741935485,1011.6129032258065,57.41935483870968
Estonia,Tallinn,2025,1,1.335483870967742,85.93548387096774,5.823523290322581,1006.7741935483871,61.774193548387096
Estonia,Tallinn,2025,2,-1.457142857142857,79.35714285714286,4.0208655,1026.392857142857,72.32142857142857
Estonia,Tallinn,2025,3,4.609677419354839,69.03225806451613,5.163123741935484,1011.2903225806451,68.38709677419355
Estonia,Tallinn,2025,4,7.666666666666667,63.46666666666667,4.585221866666667,1015.2,68.66666666666667
Estonia,Tallinn,2025,5,11.380645161290323,55.87096774193548,4.672080387096774,1010.9677419354839,72.41935483870968
Estonia,Tallinn,2025,6,15.996666666666666,64.86666666666666,5.170411733333334,1007.9,67.0
Estonia,Tallinn,2025,7,19.419999999999998,61.0,6.222272000000001,1011.4,79.0
