Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Ethiopia,Addis Ababa,2024,5,24.41764705882353,38.35294117647059,5.132394000000001,1020.1764705882352,87.6470588235294
Ethiopia,Addis Ababa,2024,6,22.349999999999998,48.142857142857146,6.600251214285715,1019.1071428571429,82.14285714285714
Ethiopia,Addis Ababa,2024,7,19.42142857142857,66.53571428571429,2.529782142857143,1016.6071428571429,65.89285714285714
Ethiopia,Addis Ababa,2024,8,18.5258064516129,73.74193548387096,3.0304901935483874,1018.7741935483871,66.12903225806451
Ethiopia,Addis Ababa,2024,9,20.57,60.36666666666667,3.444472,1023.5,77.83333333333333
Ethiopia,Addis Ababa,2024,10,19.661290322580644,59.67741935483871,2.9928554838709682,1019.8064516129032,69.03225806451613
Ethiopia,Addis Ababa,2024,11,19.526666666666664,45.833333333333336,2.9194678,1022.8666666666667,77.33333333333333
Ethiopia,Addis Ababa,2024,12,21.403225806451612,28.161290322580644,3.4516405161290327,1019.1935483870968,84.83870967741936
Ethiopia,Addis Ababa,2025,1,21.20967741935484,33.45161290322581,3.547519419354839,1022.1935483870968,84.51612903225806
Ethiopia,Addis Ababa,2025,2,23.042857142857144,28.5,4.320471071428572,1022.9642857142857,94.64285714285714
Ethiopia,Addis Ababa,2025,3,22.174193548387095,42.903225806451616,3.6201006451612905,1023.1935483870968,90.3225806451613
Ethiopia,Addis Ababa,2025,4,23.0,34.0,2.848170933333334,1024.1666666666667,94.0
Ethiopia,Addis Ababa,2025,5,21.838709677419356,48.16129032258065,2.600379225806452,1024.3225806451612,89.83870967741936
Ethiopia,Addis Ababa,2025,6,20.596666666666668,56.0,2.6129838666666667,1025.7333333333333,84.0
Ethiopia,Addis Ababa,2025,7,18.419999999999998,72.6,2.0611276,1027.8,80.0
