Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Gabon,Libreville,2024,5,29.823529411764707,78.0,3.483688,1010.1176470588235,76.17647058823529
Gabon,Libreville,2024,6,28.113793103448273,72.48275862068965,3.674358896551724,1011.4137931034483,86.55172413793103
Gabon,Libreville,2024,7,27.017241379310345,71.93103448275862,3.7069262068965516,1013.7586206896551,91.89655172413794
Gabon,Libreville,2024,8,27.203225806451613,69.80645161290323,4.32440735483871,1013.5806451612904,88.2258064516129
Gabon,Libreville,2024,9,27.83,79.26666666666667,2.8861342000000003,1013.1666666666666,81.33333333333333
Gabon,Libreville,2024,10,26.12258064516129,87.06451612903226,2.5367586451612905,1014.1290322580645,74.19354838709677
Gabon,Libreville,2024,11,26.816666666666666,88.33333333333333,2.4315009333333335,1012.5,76.33333333333333
Gabon,Libreville,2024,12,28.98709677419355,76.74193548387096,2.2285124516129033,1011.6451612903226,71.45161290322581
Gabon,Libreville,2025,1,28.929032258064513,80.41935483870968,2.084246064516129,1011.6451612903226,75.48387096774194
Gabon,Libreville,2025,2,29.3,81.46428571428571,2.041683,1010.6071428571429,74.46428571428571
Gabon,Libreville,2025,3,29.23548387096774,79.06451612903226,2.245537677419355,1011.483870967742,75.16129032258064
Gabon,Libreville,2025,4,28.69,80.56666666666666,2.2352030666666667,1011.4333333333333,76.0
Gabon,Libreville,2025,5,27.296774193548387,87.3225806451613,2.1442823870967747,1013.0322580645161,70.16129032258064
Gabon,Libreville,2025,6,26.57,85.8,2.8972454000000005,1014.6333333333333,82.66666666666667
Gabon,Libreville,2025,7,25.259999999999998,81.4,2.9611348000000004,1015.8,87.0
