Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Germany,Berlin,2024,5,22.294117647058822,51.470588235294116,4.955922,1011.4117647058823,84.41176470588235
Germany,Berlin,2024,6,22.483333333333334,51.56666666666667,4.3833684,1012.6,78.33333333333333
Germany,Berlin,2024,7,24.217241379310344,50.03448275862069,4.153289931034483,1013.9655172413793,83.96551724137932
Germany,Berlin,2024,8,26.10967741935484,44.774193548387096,4.283188387096774,1014.7096774193549,84.19354838709677
Germany,Berlin,2024,9,21.146666666666665,56.3,5.540785066666667,1014.8,73.0
Germany,Berlin,2024,10,13.248387096774193,75.09677419354838,4.103079419354839,1017.258064516129,72.25806451612904
Germany,Berlin,2024,11,5.989999999999999,81.56666666666666,3.8333640000000004,1019.9333333333333,66.33333333333333
Germany,Berlin,2024,12,4.883870967741935,81.90322580645162,4.0779896129032265,1020.1290322580645,64.03225806451613
Germany,Berlin,2025,1,3.829032258064516,80.48387096774194,4.388027935483872,1014.4516129032259,67.25806451612904
Germany,Berlin,2025,2,2.607142857142857,76.07142857142857,3.099231142857143,1026.4285714285713,71.96428571428571
Germany,Berlin,2025,3,8.067741935483872,63.96774193548387,3.2061188387096773,1017.4516129032259,73.54838709677419
Germany,Berlin,2025,4,13.483333333333333,60.3,3.5870657333333336,1018.3666666666667,75.66666666666667
Germany,Berlin,2025,5,15.261290322580646,56.58064516129032,4.237489096774194,1015.6451612903226,72.58064516129032
Germany,Berlin,2025,6,21.246666666666666,54.666666666666664,4.746334266666667,1017.1666666666666,76.83333333333333
Germany,Berlin,2025,7,24.419999999999998,47.4,3.5666952000000003,1019.6,79.0
