Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Ghana,Accra,2024,5,30.358823529411765,72.17647058823529,5.37586,1011.0588235294117,71.17647058823529
Ghana,Accra,2024,6,29.02,74.83333333333333,5.650971133333334,1012.2666666666667,71.0
Ghana,Accra,2024,7,27.055172413793105,77.0,6.044109655172415,1014.4827586206897,74.82758620689656
Ghana,Accra,2024,8,26.651612903225807,74.70967741935483,6.430158967741936,1014.258064516129,79.83870967741936
Ghana,Accra,2024,9,28.1,72.13333333333334,4.913928200000001,1014.2666666666667,79.5
Ghana,Accra,2024,10,27.238709677419354,81.6774193548387,3.2249361935483876,1014.0,81.7741935483871
Ghana,Accra,2024,11,28.323333333333334,80.66666666666667,2.3240926666666666,1012.3333333333334,78.66666666666667
Ghana,Accra,2024,12,30.203225806451613,61.645161290322584,2.0080805806451614,1012.3548387096774,80.64516129032258
Ghana,Accra,2025,1,30.096774193548388,69.83870967741936,3.0143610322580647,1012.0322580645161,79.03225806451613
Ghana,Accra,2025,2,30.025000000000002,72.28571428571429,3.7738397142857143,1010.8571428571429,79.64285714285714
Ghana,Accra,2025,3,29.219354838709677,76.25806451612904,4.49107535483871,1011.1935483870968,75.80645161290323
Ghana,Accra,2025,4,28.663333333333334,80.26666666666667,4.0722548000000005,1011.0333333333333,72.5
Ghana,Accra,2025,5,28.19677419354839,82.06451612903226,3.4489523225806455,1013.0322580645161,72.25806451612904
Ghana,Accra,2025,6,26.646666666666665,87.03333333333333,3.6009547333333334,1014.6,74.0
Ghana,Accra,2025,7,25.68,89.0,4.58337,1016.0,77.0
