Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Grenada,Saint George's,2024,5,30.099999999999998,73.52941176470588,6.92816,1014.2352941176471,67.94117647058823
Grenada,Saint George's,2024,6,29.75,76.92857142857143,6.136953857142857,1014.0714285714286,67.32142857142857
Grenada,Saint George's,2024,7,28.420689655172417,80.62068965517241,5.634144689655172,1014.4827586206897,65.34482758620689
Grenada,Saint George's,2024,8,28.580645161290324,79.58064516129032,4.060964387096774,1013.7096774193549,70.96774193548387
Grenada,Saint George's,2024,9,28.826666666666664,82.63333333333334,4.1667000000000005,1011.3333333333334,69.66666666666667
Grenada,Saint George's,2024,10,27.654838709677417,85.61290322580645,4.590538516129033,1010.483870967742,68.87096774193549
Grenada,Saint George's,2024,11,27.417241379310347,85.96551724137932,4.994292827586207,1009.4137931034483,69.65517241379311
Grenada,Saint George's,2024,12,25.9,83.83870967741936,5.109359870967743,1011.9032258064516,78.38709677419355
Grenada,Saint George's,2025,1,25.583333333333332,82.56666666666666,5.770416533333334,1013.2333333333333,82.16666666666667
Grenada,Saint George's,2025,2,25.52857142857143,83.71428571428571,6.375051000000001,1013.0,77.14285714285714
Grenada,Saint George's,2025,3,25.896774193548385,83.35483870967742,7.098623096774194,1012.7741935483871,79.83870967741936
Grenada,Saint George's,2025,4,26.386666666666667,82.73333333333333,6.983389200000001,1012.0666666666667,75.66666666666667
Grenada,Saint George's,2025,5,27.251612903225805,82.93548387096774,6.976758322580646,1012.741935483871,62.74193548387097
Grenada,Saint George's,2025,6,26.896666666666665,82.4,7.3352438666666675,1014.0,67.83333333333333
Grenada,Saint George's,2025,7,25.98,89.6,5.0611516000000005,1015.0,76.0
