Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Haiti,Port-Au-Prince,2024,5,28.823529411764707,70.6470588235294,4.202648000000001,1014.7058823529412,75.58823529411765
Haiti,Port-Au-Prince,2024,6,30.086666666666666,69.83333333333333,5.260227266666667,1013.2666666666667,72.16666666666667
Haiti,Port-Au-Prince,2024,7,28.36551724137931,71.89655172413794,3.579530551724138,1016.2758620689655,85.86206896551724
Haiti,Port-Au-Prince,2024,8,28.070967741935487,74.51612903225806,2.687297483870968,1015.0,88.54838709677419
Haiti,Port-Au-Prince,2024,9,25.096666666666668,85.0,1.8842743333333334,1012.4333333333333,78.83333333333333
Haiti,Port-Au-Prince,2024,10,21.34333333333333,91.73333333333333,1.6055684000000001,1012.9,71.66666666666667
Haiti,Port-Au-Prince,2024,11,20.52758620689655,90.13793103448276,1.6523120689655173,1011.8275862068965,71.37931034482759
Haiti,Port-Au-Prince,2024,12,19.183870967741935,93.06451612903226,1.8423086451612904,1014.8064516129032,67.58064516129032
Haiti,Port-Au-Prince,2025,1,17.773333333333333,91.73333333333333,1.7805698,1016.5,66.83333333333333
Haiti,Port-Au-Prince,2025,2,17.053571428571427,88.35714285714286,2.0754134285714287,1016.1785714285714,68.21428571428571
Haiti,Port-Au-Prince,2025,3,18.751612903225805,89.3225806451613,1.5483994838709678,1015.0322580645161,66.93548387096774
Haiti,Port-Au-Prince,2025,4,19.603333333333335,91.73333333333333,1.8666816000000002,1015.1,69.0
Haiti,Port-Au-Prince,2025,5,20.60666666666667,92.06666666666666,1.6620503333333334,1015.1666666666666,69.0
Haiti,Port-Au-Prince,2025,6,20.61,91.06666666666666,1.8620519333333334,1016.3666666666667,69.0
Haiti,Port-Au-Prince,2025,7,19.3,91.2,1.9389044000000002,1016.8,65.0
