Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Honduras,Tegucigalpa,2024,5,24.58823529411765,71.76470588235294,1.61766,1018.8823529411765,99.11764705882354
Honduras,Tegucigalpa,2024,6,21.853333333333335,86.93333333333334,1.5796422666666667,1017.3333333333334,73.83333333333333
Honduras,Tegucigalpa,2024,7,19.728571428571428,91.57142857142857,1.8363242142857144,1018.0714285714286,66.60714285714286
Honduras,Tegucigalpa,2024,8,19.16774193548387,93.48387096774194,1.5197254193548388,1017.9354838709677,64.6774193548387
Honduras,Tegucigalpa,2024,9,19.90666666666667,94.6,1.2768620666666668,1016.0666666666667,62.333333333333336
Honduras,Tegucigalpa,2024,10,16.773333333333333,96.16666666666667,1.6166796,1014.3666666666667,63.0
Honduras,Tegucigalpa,2024,11,15.910344827586206,95.62068965517241,1.777792,1014.1034482758621,60.86206896551724
Honduras,Tegucigalpa,2024,12,15.85483870967742,94.03225806451613,2.717763677419355,1017.5806451612904,61.61290322580645
Honduras,Tegucigalpa,2025,1,17.153333333333332,90.1,2.2935368666666665,1086.0666666666666,64.33333333333333
Honduras,Tegucigalpa,2025,2,17.985714285714288,87.03571428571429,1.9553727857142857,1019.0714285714286,65.89285714285714
Honduras,Tegucigalpa,2025,3,19.36774193548387,80.2258064516129,1.6227728387096776,1018.3870967741935,72.41935483870968
Honduras,Tegucigalpa,2025,4,20.02,77.2,1.6944580000000002,1019.7666666666667,80.0
Honduras,Tegucigalpa,2025,5,21.23,81.76666666666667,1.3555664000000003,1018.9,78.0
Honduras,Tegucigalpa,2025,6,20.376666666666665,89.2,1.4490856666666667,1018.5666666666667,64.66666666666667
Honduras,Tegucigalpa,2025,7,19.62,90.2,1.6777912000000001,1018.8,65.0
