Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Indonesia,Laos,2024,5,21.694117647058825,93.29411764705883,1.5653720000000002,1012.1176470588235,60.0
Indonesia,Laos,2024,6,20.610344827586207,92.03448275862068,1.523958551724138,1013.448275862069,53.275862068965516
Indonesia,Laos,2024,7,21.45862068965517,90.17241379310344,1.7375617931034484,1013.1034482758621,56.03448275862069
Indonesia,Laos,2024,8,21.364516129032257,88.29032258064517,1.827971612903226,1013.3870967741935,60.96774193548387
Indonesia,Laos,2024,9,23.573333333333334,83.56666666666666,1.8305702000000001,1011.2666666666667,69.5
Indonesia,Laos,2024,10,28.161290322580644,67.7741935483871,2.671168322580645,1009.8709677419355,70.48387096774194
Indonesia,Laos,2024,11,28.40666666666667,72.53333333333333,1.7055692,1007.6,64.0
Indonesia,Laos,2024,12,24.809677419354838,89.7741935483871,1.3216951612903227,1007.5806451612904,62.25806451612903
Indonesia,Laos,2025,1,24.980645161290322,91.19354838709677,1.3548495483870968,1007.7741935483871,65.64516129032258
Indonesia,Laos,2025,2,25.907142857142855,88.07142857142857,1.3075501428571432,1008.5714285714286,68.57142857142857
Indonesia,Laos,2025,3,28.20967741935484,77.12903225806451,1.6720563870967744,1007.1612903225806,66.29032258064517
Indonesia,Laos,2025,4,27.33,77.73333333333333,1.8703853333333336,1008.5666666666667,68.16666666666667
Indonesia,Laos,2025,5,27.574193548387097,81.54838709677419,2.0053923870967743,1008.0,64.6774193548387
Indonesia,Laos,2025,6,26.326666666666664,80.2,2.4009451333333334,1010.3666666666667,69.66666666666667
Indonesia,Laos,2025,7,25.3,85.4,2.527798,1011.2,72.0
