Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Iran,Tehran,2024,5,27.11764705882353,23.0,5.148734,1014.0,81.76470588235294
Iran,Tehran,2024,6,33.00333333333334,15.833333333333334,4.1481813333333335,1010.1333333333333,77.33333333333333
Iran,Tehran,2024,7,36.38275862068965,14.379310344827585,3.773018689655173,1004.8620689655172,77.58620689655173
Iran,Tehran,2024,8,36.28064516129032,14.290322580645162,3.4856909677419354,1007.6774193548387,78.70967741935483
Iran,Tehran,2024,9,30.276666666666664,20.633333333333333,3.1870625333333336,1015.3666666666667,80.0
Iran,Tehran,2024,10,22.432258064516127,24.258064516129032,3.131745483870968,1018.0645161290323,90.0
Iran,Tehran,2024,11,15.336666666666668,39.36666666666667,2.3963154666666666,1020.7,79.0
Iran,Tehran,2024,12,8.796774193548387,38.70967741935484,1.9901592903225809,1021.3548387096774,78.70967741935483
Iran,Tehran,2025,1,9.206451612903225,36.25806451612903,1.9014489032258066,1021.9677419354839,78.87096774193549
Iran,Tehran,2025,2,7.739285714285714,33.642857142857146,2.736133,1087.3214285714287,78.39285714285714
Iran,Tehran,2025,3,15.899999999999999,28.580645161290324,3.050203612903226,1019.3548387096774,81.61290322580645
Iran,Tehran,2025,4,23.886666666666667,20.3,3.9166980000000007,1016.9666666666667,86.66666666666667
Iran,Tehran,2025,5,29.79032258064516,14.0,3.971357935483871,1014.8387096774194,82.58064516129032
Iran,Tehran,2025,6,30.636666666666667,16.3,3.7842895333333337,1010.4666666666667,82.66666666666667
Iran,Tehran,2025,7,34.760000000000005,14.0,3.2722484,1007.0,80.0
