Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Iraq,Baghdad,2024,5,37.71176470588235,15.352941176470589,4.063758,1006.2941176470588,76.47058823529412
Iraq,Baghdad,2024,6,44.62,9.033333333333333,5.140781866666667,999.2666666666667,75.33333333333333
Iraq,Baghdad,2024,7,44.800000000000004,10.862068965517242,6.194494000000001,996.1379310344828,73.44827586206897
Iraq,Baghdad,2024,8,44.751612903225805,11.419354838709678,5.088750387096774,999.258064516129,74.51612903225806
Iraq,Baghdad,2024,9,39.81333333333334,17.166666666666668,5.4000432,1005.3333333333334,74.66666666666667
Iraq,Baghdad,2024,10,31.116129032258065,17.870967741935484,3.93551535483871,1013.0645161290323,84.51612903225806
Iraq,Baghdad,2024,11,23.403333333333332,39.266666666666666,4.329664266666667,1018.0333333333333,92.0
Iraq,Baghdad,2024,12,18.212903225806453,33.096774193548384,4.380859419354839,1020.1935483870968,76.7741935483871
Iraq,Baghdad,2025,1,16.467741935483872,44.54838709677419,4.1810370322580654,1021.4516129032259,74.51612903225806
Iraq,Baghdad,2025,2,15.335714285714285,38.785714285714285,3.864118214285715,1019.1071428571429,76.60714285714286
Iraq,Baghdad,2025,3,22.31935483870968,41.16129032258065,4.7921530322580645,1017.0,83.06451612903226
Iraq,Baghdad,2025,4,28.68,28.233333333333334,4.9694842,1011.6333333333333,81.0
Iraq,Baghdad,2025,5,35.645161290322584,18.774193548387096,6.128185225806452,1007.4193548387096,73.87096774193549
Iraq,Baghdad,2025,6,39.78333333333333,13.5,5.997270200000001,1002.8,73.0
Iraq,Baghdad,2025,7,37.559999999999995,15.0,7.200057600000001,1001.2,70.0
