Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Ireland,Dublin,2024,5,15.882352941176471,70.6470588235294,4.9379480000000004,1012.8235294117648,69.41176470588235
Ireland,Dublin,2024,6,16.148275862068967,64.82758620689656,5.347743931034483,1013.6551724137931,69.82758620689656
Ireland,Dublin,2024,7,17.44137931034483,68.41379310344827,4.666704,1012.8965517241379,67.58620689655173
Ireland,Dublin,2024,8,18.238709677419354,64.83870967741936,5.377283161290324,1010.0,64.51612903225806
Ireland,Dublin,2024,9,14.616666666666667,78.7,5.2139306,1015.6,65.66666666666667
Ireland,Dublin,2024,10,11.44516129032258,83.09677419354838,4.267059225806452,1010.9677419354839,65.96774193548387
Ireland,Dublin,2024,11,8.003333333333334,88.9,3.959290933333334,1017.7333333333333,61.666666666666664
Ireland,Dublin,2024,12,7.464516129032258,83.87096774193549,5.66760806451613,1021.2258064516129,60.483870967741936
Ireland,Dublin,2025,1,4.516129032258065,87.74193548387096,4.218671741935484,1009.6129032258065,62.903225806451616
Ireland,Dublin,2025,2,6.989285714285714,82.78571428571429,5.728220428571428,1016.75,60.535714285714285
Ireland,Dublin,2025,3,8.574193548387097,79.03225806451613,3.627269161290323,1016.7741935483871,70.64516129032258
Ireland,Dublin,2025,4,10.983333333333333,77.46666666666667,3.4352126666666667,1016.1333333333333,68.83333333333333
Ireland,Dublin,2025,5,13.464516129032257,73.58064516129032,3.6774487741935484,1018.741935483871,72.41935483870968
Ireland,Dublin,2025,6,15.203333333333335,78.3,4.122255200000001,1013.2333333333333,68.0
Ireland,Dublin,2025,7,14.280000000000001,83.6,4.9055948,1020.0,57.0
