Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Israel,Jerusalem,2024,5,27.176470588235293,48.23529411764706,5.071936000000001,1012.4705882352941,87.6470588235294
Israel,Jerusalem,2024,6,31.16,46.8,5.600044800000001,1006.7666666666667,75.0
Israel,Jerusalem,2024,7,31.785714285714285,40.25,6.953428642857143,1005.0,72.14285714285714
Israel,Jerusalem,2024,8,30.461290322580645,33.903225806451616,6.988407161290323,1007.2903225806451,71.93548387096774
Israel,Jerusalem,2024,9,30.116666666666667,45.333333333333336,6.092641333333334,1010.2333333333333,74.33333333333333
Israel,Jerusalem,2024,10,24.719354838709677,37.354838709677416,3.07439735483871,1014.1290322580645,89.03225806451613
Israel,Jerusalem,2024,11,17.35666666666667,48.86666666666667,3.474101866666667,1018.1666666666666,73.33333333333333
Israel,Jerusalem,2024,12,14.438709677419356,42.87096774193548,3.4166940000000006,1019.2258064516129,75.64516129032258
Israel,Jerusalem,2025,1,18.664516129032258,47.32258064516129,2.498227870967742,1020.1612903225806,80.48387096774194
Israel,Jerusalem,2025,2,16.310714285714287,52.92857142857143,4.547655428571429,1018.75,71.42857142857143
Israel,Jerusalem,2025,3,22.625806451612902,41.74193548387097,3.583362,1016.2258064516129,80.3225806451613
Israel,Jerusalem,2025,4,24.553333333333335,39.333333333333336,5.296338666666667,1012.9666666666667,82.33333333333333
Israel,Jerusalem,2025,5,27.01290322580645,44.70967741935484,3.882647548387097,1012.3548387096774,91.29032258064517
Israel,Jerusalem,2025,6,29.376666666666665,52.7,3.0203945333333335,1009.4,83.0
Israel,Jerusalem,2025,7,32.160000000000004,41.6,4.6278148,1007.6,76.0
