Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Jamaica,Port Royal,2024,6,30.15,71.0,4.86115,1012.9,76.0
Jamaica,Port Royal,2024,7,28.43793103448276,76.6896551724138,3.0009818620689654,1014.0689655172414,82.41379310344827
Jamaica,Port Royal,2024,8,28.241935483870968,78.2258064516129,2.349481161290323,1013.5806451612904,81.93548387096774
Jamaica,Port Royal,2024,9,28.826666666666664,79.5,2.4176119333333332,1010.3,72.0
Jamaica,Port Royal,2024,10,27.25,86.46666666666667,1.4296410666666666,1010.6666666666666,76.66666666666667
Jamaica,Port Royal,2024,11,26.348275862068967,85.58620689655173,1.7672555172413793,1009.2758620689655,86.03448275862068
Jamaica,Port Royal,2024,12,25.55806451612903,86.80645161290323,1.8772551612903228,1013.0,86.7741935483871
Jamaica,Port Royal,2025,1,25.05666666666667,80.03333333333333,1.9018670666666668,1014.4666666666667,93.0
Jamaica,Port Royal,2025,2,25.103571428571428,75.71428571428571,1.7748157857142857,1014.1428571428571,97.85714285714286
Jamaica,Port Royal,2025,3,25.24516129032258,74.74193548387096,1.7052107741935485,1013.3225806451613,96.61290322580645
Jamaica,Port Royal,2025,4,25.946666666666665,73.56666666666666,1.9009411333333335,1012.9666666666667,95.83333333333333
Jamaica,Port Royal,2025,5,26.60666666666667,79.53333333333333,1.6713096666666667,1013.0333333333333,94.16666666666667
Jamaica,Port Royal,2025,6,27.490000000000002,74.73333333333333,1.8833484,1014.1666666666666,90.16666666666667
Jamaica,Port Royal,2025,7,27.6,73.6,1.7000136000000001,1014.8,92.0
