Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Japan,Tokyo,2024,5,20.523529411764706,73.52941176470588,4.519644,1011.1176470588235,73.52941176470588
Japan,Tokyo,2024,6,22.673333333333336,78.2,4.271330466666667,1009.3333333333334,79.66666666666667
Japan,Tokyo,2024,7,27.844827586206897,79.37931034482759,3.927234482758621,1007.8965517241379,73.10344827586206
Japan,Tokyo,2024,8,28.88064516129032,76.7741935483871,5.214199419354839,1007.8064516129032,66.45161290322581
Japan,Tokyo,2024,9,27.053333333333335,79.9,5.2139306,1013.0333333333333,74.16666666666667
Japan,Tokyo,2024,10,22.38064516129032,75.61290322580645,5.0941267741935485,1017.8387096774194,77.41935483870968
Japan,Tokyo,2024,11,15.986666666666668,55.53333333333333,4.035217466666667,1017.5666666666667,72.66666666666667
Japan,Tokyo,2024,12,10.429032258064517,49.064516129032256,4.374586967741936,1013.258064516129,75.16129032258064
Japan,Tokyo,2025,1,8.570967741935483,52.83870967741935,3.7948332258064523,1015.1612903225806,73.87096774193549
Japan,Tokyo,2025,2,8.214285714285714,44.82142857142857,5.315518714285715,1013.1785714285714,73.57142857142857
Japan,Tokyo,2025,3,11.983870967741936,68.35483870967742,4.833372000000001,1013.9354838709677,66.45161290322581
Japan,Tokyo,2025,4,18.273333333333333,58.06666666666667,6.218568266666667,1009.0,69.66666666666667
Japan,Tokyo,2025,5,20.858064516129033,64.61290322580645,5.8253154193548395,1010.0967741935484,72.90322580645162
Japan,Tokyo,2025,6,27.066666666666666,67.5,5.764860933333334,1007.7333333333333,73.66666666666667
Japan,Tokyo,2025,7,29.98,69.8,4.738926800000001,1009.0,74.0
