Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Jordan,Amman,2024,5,27.647058823529413,30.0,6.328482000000001,1015.7647058823529,82.94117647058823
Jordan,Amman,2024,6,34.78333333333333,20.866666666666667,5.721342066666667,1010.4666666666667,72.33333333333333
Jordan,Amman,2024,7,32.824137931034485,27.103448275862068,6.329552551724138,1007.2413793103449,72.06896551724138
Jordan,Amman,2024,8,32.248387096774195,30.612903225806452,5.5448472258064525,1009.6451612903226,72.25806451612904
Jordan,Amman,2024,9,29.253333333333334,35.7,5.407450666666667,1014.5666666666667,81.33333333333333
Jordan,Amman,2024,10,24.32903225806452,35.935483870967744,3.7545103225806455,1017.9354838709677,91.29032258064517
Jordan,Amman,2024,11,18.0,49.96666666666667,4.171329666666667,1019.8,78.0
Jordan,Amman,2024,12,14.890322580645162,40.87096774193548,4.177452774193548,1022.2258064516129,74.19354838709677
Jordan,Amman,2025,1,13.893548387096773,48.225806451612904,3.910425548387097,1022.5806451612904,76.7741935483871
Jordan,Amman,2025,2,10.807142857142859,53.464285714285715,4.980198571428572,1019.2857142857143,71.96428571428571
Jordan,Amman,2025,3,17.625806451612902,42.193548387096776,4.304693935483871,1018.9677419354839,79.35483870967742
Jordan,Amman,2025,4,21.776666666666664,30.833333333333332,5.966714400000001,1015.7333333333333,79.0
Jordan,Amman,2025,5,25.780645161290323,24.93548387096774,4.693585935483871,1015.6129032258065,83.87096774193549
Jordan,Amman,2025,6,29.273333333333333,22.166666666666668,4.738926800000001,1013.2333333333333,79.66666666666667
Jordan,Amman,2025,7,28.82,24.4,6.683386800000001,1012.2,78.0
