Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Kiribati,Tarawa,2024,5,29.0875,74.3125,5.845532875000001,1007.8125,63.125
Kiribati,Tarawa,2024,6,28.862068965517242,71.20689655172414,4.816130482758621,1009.0,64.13793103448276
Kiribati,Tarawa,2024,7,28.585714285714285,72.5,4.632973571428572,1008.8214285714286,68.21428571428571
Kiribati,Tarawa,2024,8,28.683870967741935,72.38709677419355,5.248249870967743,1009.8387096774194,62.25806451612903
Kiribati,Tarawa,2024,9,28.306451612903224,71.7741935483871,5.097711032258065,1010.0,72.90322580645162
Kiribati,Tarawa,2024,10,28.05806451612903,73.41935483870968,5.7724476129032265,1011.1612903225806,75.64516129032258
Kiribati,Tarawa,2024,11,27.903333333333332,72.2,5.465784466666667,1010.6,80.16666666666667
Kiribati,Tarawa,2024,12,27.874193548387098,77.38709677419355,7.0233536774193555,1009.3225806451613,72.25806451612904
Kiribati,Tarawa,2025,1,27.26774193548387,77.16129032258064,7.015289096774194,1009.9677419354839,76.45161290322581
Kiribati,Tarawa,2025,2,26.910714285714285,77.92857142857143,6.489139214285715,1011.0,79.10714285714286
Kiribati,Tarawa,2025,3,26.83225806451613,81.54838709677419,7.052027741935484,1011.258064516129,67.41935483870968
Kiribati,Tarawa,2025,4,27.323333333333334,81.4,5.522266400000001,1010.5666666666667,73.16666666666667
Kiribati,Tarawa,2025,5,27.86774193548387,78.58064516129032,5.548431483870968,1010.2903225806451,75.3225806451613
Kiribati,Tarawa,2025,6,28.12,74.33333333333333,5.279671866666667,1010.8,74.33333333333333
Kiribati,Tarawa,2025,7,28.04,77.4,5.983381200000001,1010.8,72.0
