Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Latvia,Riga,2024,5,24.529411764705884,43.294117647058826,4.333368,1018.2352941176471,88.82352941176471
Latvia,Riga,2024,6,21.163333333333334,58.03333333333333,3.0315057333333333,1011.7,81.33333333333333
Latvia,Riga,2024,7,22.477777777777778,61.51851851851852,3.55352637037037,1012.1111111111111,81.48148148148148
Latvia,Riga,2024,8,22.364516129032257,59.16129032258065,3.9722540000000004,1013.6129032258065,81.45161290322581
Latvia,Riga,2024,9,20.62,62.7,3.4796574666666666,1017.9666666666667,80.33333333333333
Latvia,Riga,2024,10,11.09032258064516,72.87096774193549,3.7778080000000007,1018.1290322580645,70.3225806451613
Latvia,Riga,2024,11,5.323333333333333,84.46666666666667,4.956521133333334,1013.7,59.166666666666664
Latvia,Riga,2024,12,2.925806451612903,82.45161290322581,5.0941267741935485,1015.1612903225806,62.74193548387097
Latvia,Riga,2025,1,2.8032258064516125,88.16129032258064,4.321719161290323,1009.3870967741935,59.83870967741935
Latvia,Riga,2025,2,-1.4857142857142858,80.14285714285714,3.4980438571428576,1027.5714285714287,69.46428571428571
Latvia,Riga,2025,3,6.370967741935484,69.61290322580645,3.960605161290323,1013.483870967742,70.16129032258064
Latvia,Riga,2025,4,9.526666666666667,65.4,4.449109666666668,1016.3333333333334,71.0
Latvia,Riga,2025,5,12.316129032258065,61.935483870967744,3.6407101290322585,1011.4516129032259,69.19354838709677
Latvia,Riga,2025,6,16.736666666666668,69.66666666666667,5.025966133333333,1010.3666666666667,64.83333333333333
Latvia,Riga,2025,7,20.96,60.6,5.116707600000001,1015.0,79.0
