Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Lesotho,Maseru,2024,5,20.970588235294116,22.294117647058822,3.348066,1020.7647058823529,85.88235294117646
Lesotho,Maseru,2024,6,15.083333333333334,34.9,2.785207466666667,1023.1333333333333,75.83333333333333
Lesotho,Maseru,2024,7,15.332142857142857,20.857142857142858,5.045675285714286,1020.1428571428571,76.78571428571429
Lesotho,Maseru,2024,8,20.26451612903226,17.129032258064516,5.1828371612903235,1021.3225806451613,82.90322580645162
Lesotho,Maseru,2024,9,20.44,35.36666666666667,5.977825600000001,1021.6,81.0
Lesotho,Maseru,2024,10,22.34193548387097,30.322580645161292,4.114728258064516,1019.3225806451613,87.41935483870968
Lesotho,Maseru,2024,11,24.646666666666665,34.5,5.1305966000000005,1016.9,86.66666666666667
Lesotho,Maseru,2024,12,29.248387096774195,26.64516129032258,5.299325548387097,1013.0645161290323,76.7741935483871
Lesotho,Maseru,2025,1,26.990322580645163,44.54838709677419,3.686409419354839,1017.3870967741935,89.19354838709677
Lesotho,Maseru,2025,2,26.146428571428572,45.92857142857143,3.3918922142857144,1016.6071428571429,87.67857142857143
Lesotho,Maseru,2025,3,22.480645161290322,58.29032258064516,2.944468,1022.9032258064516,88.70967741935483
Lesotho,Maseru,2025,4,16.95,67.86666666666666,2.6222432,1024.0,73.16666666666667
Lesotho,Maseru,2025,5,13.964516129032257,53.29032258064516,2.294821225806452,1028.483870967742,79.03225806451613
Lesotho,Maseru,2025,6,10.623333333333333,50.93333333333333,2.632428466666667,1026.6666666666667,75.83333333333333
Lesotho,Maseru,2025,7,9.66,55.2,2.8611340000000003,1027.6,74.0
