Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Lithuania,Vilnius,2024,5,21.705882352941178,49.35294117647059,4.364414,1018.7058823529412,78.82352941176471
Lithuania,Vilnius,2024,6,21.836666666666666,56.266666666666666,3.9055868000000005,1012.7333333333333,77.5
Lithuania,Vilnius,2024,7,23.349999999999998,57.857142857142854,4.105191571428572,1013.1785714285714,80.35714285714286
Lithuania,Vilnius,2024,8,23.809677419354838,54.806451612903224,3.7957292903225808,1014.6451612903226,82.90322580645162
Lithuania,Vilnius,2024,9,21.46333333333333,53.43333333333333,4.334293933333333,1018.8333333333334,84.66666666666667
Lithuania,Vilnius,2024,10,10.229032258064517,76.54838709677419,3.8145466451612906,1019.483870967742,70.16129032258064
Lithuania,Vilnius,2024,11,3.31,86.96666666666667,4.576888466666667,1016.9333333333333,59.666666666666664
Lithuania,Vilnius,2024,12,2.0516129032258066,86.45161290322581,4.558280193548388,1017.516129032258,63.70967741935484
Lithuania,Vilnius,2025,1,1.729032258064516,89.74193548387096,4.625485032258065,1011.9354838709677,60.645161290322584
Lithuania,Vilnius,2025,2,-2.8857142857142857,73.67857142857143,3.787728714285714,1027.5714285714287,72.14285714285714
Lithuania,Vilnius,2025,3,6.619354838709677,64.25806451612904,4.597707032258064,1014.5806451612904,70.3225806451613
Lithuania,Vilnius,2025,4,11.066666666666666,56.333333333333336,4.663000266666668,1015.8,73.33333333333333
Lithuania,Vilnius,2025,5,11.661290322580646,59.0,4.03677064516129,1011.6451612903226,70.3225806451613
Lithuania,Vilnius,2025,6,17.19333333333333,68.26666666666667,5.331524133333334,1012.6666666666666,67.33333333333333
Lithuania,Vilnius,2025,7,21.12,50.4,5.0333736,1017.6,84.0
