Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Luxembourg,Luxembourg,2024,5,16.564705882352943,67.3529411764706,4.3921920000000005,1011.6470588235294,68.52941176470588
Luxembourg,Luxembourg,2024,6,18.92758620689655,63.724137931034484,4.108270413793104,1014.2758620689655,73.10344827586206
Luxembourg,Luxembourg,2024,7,21.375,63.25,3.9166980000000002,1015.5,76.25
Luxembourg,Luxembourg,2024,8,23.04516129032258,62.193548387096776,3.881751483870968,1016.0645161290323,83.54838709677419
Luxembourg,Luxembourg,2024,9,16.616666666666667,75.73333333333333,4.782445666666667,1015.2666666666667,69.33333333333333
Luxembourg,Luxembourg,2024,10,11.625806451612902,89.06451612903226,3.3925002580645165,1017.0322580645161,62.41935483870968
Luxembourg,Luxembourg,2024,11,5.586666666666667,90.26666666666667,3.482435266666667,1021.4,61.166666666666664
Luxembourg,Luxembourg,2024,12,3.270967741935484,89.2258064516129,4.014369032258065,1022.7096774193549,61.45161290322581
Luxembourg,Luxembourg,2025,1,2.3838709677419354,88.29032258064517,4.22315206451613,1015.8064516129032,63.225806451612904
Luxembourg,Luxembourg,2025,2,2.5535714285714284,82.60714285714286,3.4881231428571433,1022.6428571428571,70.17857142857143
Luxembourg,Luxembourg,2025,3,7.490322580645161,65.6774193548387,3.664903870967742,1016.516129032258,73.54838709677419
Luxembourg,Luxembourg,2025,4,11.246666666666666,67.33333333333333,4.478739533333334,1017.1333333333333,69.66666666666667
Luxembourg,Luxembourg,2025,5,14.648387096774194,59.96774193548387,4.483906838709678,1017.3225806451613,72.25806451612904
Luxembourg,Luxembourg,2025,6,18.9,70.4,4.371331266666667,1019.2333333333333,75.83333333333333
Luxembourg,Luxembourg,2025,7,22.78,51.6,3.4666944,1021.6,84.0
