Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Madagascar,Antananarivo,2024,5,18.647058823529413,65.11764705882354,5.120956,1022.6470588235294,74.41176470588235
Madagascar,Antananarivo,2024,6,19.583333333333332,58.733333333333334,5.0305958,1021.8333333333334,75.33333333333333
Madagascar,Antananarivo,2024,7,23.317241379310346,35.241379310344826,2.93393151724138,1019.5862068965517,92.41379310344827
Madagascar,Antananarivo,2024,8,22.738709677419354,38.38709677419355,5.03767470967742,1020.3225806451613,85.48387096774194
Madagascar,Antananarivo,2024,9,26.9,35.733333333333334,4.681518933333334,1021.4,82.83333333333333
Madagascar,Antananarivo,2024,10,26.796774193548387,37.0,4.038562774193549,1020.0,89.35483870967742
Madagascar,Antananarivo,2024,11,28.83,37.13333333333333,2.4666864000000004,1017.8333333333334,80.66666666666667
Madagascar,Antananarivo,2024,12,29.15806451612903,37.0,2.966869612903226,1015.6129032258065,82.25806451612904
Madagascar,Antananarivo,2025,1,27.96451612903226,49.096774193548384,3.1281612258064517,1016.4516129032259,82.41935483870968
Madagascar,Antananarivo,2025,2,26.942857142857143,59.142857142857146,3.013913,1015.8214285714286,86.42857142857143
Madagascar,Antananarivo,2025,3,25.89032258064516,60.193548387096776,3.712395290322581,1018.3548387096774,92.90322580645162
Madagascar,Antananarivo,2025,4,26.14,55.6,2.9583570000000003,1020.3666666666667,97.0
Madagascar,Antananarivo,2025,5,22.241935483870968,62.58064516129032,4.062756516129033,1023.1290322580645,87.41935483870968
Madagascar,Antananarivo,2025,6,20.42,58.166666666666664,3.7426225333333334,1024.9,82.33333333333333
Madagascar,Antananarivo,2025,7,18.06,57.6,5.8611580000000005,1026.2,74.0
