Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Malawi,Lilongwe,2024,5,22.99411764705882,47.64705882352941,4.6699720000000005,1021.1176470588235,91.76470588235294
Malawi,Lilongwe,2024,6,23.626666666666665,38.2,4.150959133333334,1020.1666666666666,93.0
Malawi,Lilongwe,2024,7,26.482758620689655,22.03448275862069,3.0450435172413792,1017.551724137931,93.44827586206897
Malawi,Lilongwe,2024,8,26.480645161290322,27.387096774193548,4.383547612903226,1018.5806451612904,91.61290322580645
Malawi,Lilongwe,2024,9,27.313333333333333,30.533333333333335,4.752815800000001,1019.0666666666667,81.16666666666667
Malawi,Lilongwe,2024,10,28.425806451612903,33.774193548387096,3.8629341290322583,1015.8709677419355,81.7741935483871
Malawi,Lilongwe,2024,11,28.966666666666665,43.266666666666666,4.1194774,1015.5333333333333,82.33333333333333
Malawi,Lilongwe,2024,12,30.809677419354838,36.38709677419355,3.6577353548387097,1013.2903225806451,78.38709677419355
Malawi,Lilongwe,2025,1,24.0258064516129,72.48387096774194,2.671168322580645,1015.4193548387096,80.16129032258064
Malawi,Lilongwe,2025,2,24.442857142857143,72.35714285714286,2.7410933571428577,1014.8214285714286,79.46428571428571
Malawi,Lilongwe,2025,3,24.345161290322583,69.03225806451613,2.3208070967741934,1018.5483870967741,93.06451612903226
Malawi,Lilongwe,2025,4,23.88,69.3,2.8639118,1020.6666666666666,92.5
Malawi,Lilongwe,2025,5,21.403225806451612,67.19354838709677,2.738373161290323,1024.7096774193549,85.96774193548387
Malawi,Lilongwe,2025,6,20.783333333333335,57.86666666666667,2.8453931333333333,1025.3666666666666,88.83333333333333
Malawi,Lilongwe,2025,7,21.14,55.4,3.5944732000000004,1025.2,80.0
