Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Mali,Bamako,2024,5,37.11764705882353,36.64705882352941,2.84316,1011.5294117647059,80.0
Mali,Bamako,2024,6,35.02333333333333,43.6,2.7277996,1012.1666666666666,78.33333333333333
Mali,Bamako,2024,7,29.603448275862068,67.3103448275862,3.2136272413793106,1013.9310344827586,77.06896551724138
Mali,Bamako,2024,8,27.961290322580645,73.96774193548387,3.5752974193548392,1013.516129032258,72.74193548387096
Mali,Bamako,2024,9,28.333333333333332,74.6,2.9481717333333335,1014.7666666666667,76.83333333333333
Mali,Bamako,2024,10,27.69677419354839,67.38709677419355,1.7661431612903227,1014.741935483871,86.29032258064517
Mali,Bamako,2024,11,26.296666666666667,35.06666666666667,2.4944644,1014.7666666666667,93.66666666666667
Mali,Bamako,2024,12,26.977419354838712,19.387096774193548,4.619212580645161,1016.3225806451613,87.74193548387096
Mali,Bamako,2025,1,25.616129032258065,19.06451612903226,4.4014689032258065,1016.1935483870968,92.58064516129032
Mali,Bamako,2025,2,27.57857142857143,20.5,4.662735714285715,1014.6071428571429,85.35714285714286
Mali,Bamako,2025,3,31.335483870967742,35.12903225806452,3.5287020645161293,1012.741935483871,79.03225806451613
Mali,Bamako,2025,4,30.64,51.8,3.4296570666666666,1011.8666666666667,78.0
Mali,Bamako,2025,5,28.29032258064516,71.29032258064517,4.02870606451613,1014.2258064516129,81.29032258064517
Mali,Bamako,2025,6,26.603333333333335,77.86666666666666,3.7111408000000004,1015.8333333333334,86.5
Mali,Bamako,2025,7,24.46,93.6,2.8000224000000005,1016.0,74.0
