Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Marshall Islands,Majuro,2024,5,28.35,82.0,4.6180925,1009.125,66.5625
Marshall Islands,Majuro,2024,6,28.296666666666667,81.26666666666667,3.2259517333333334,1010.1333333333333,71.83333333333333
Marshall Islands,Majuro,2024,7,28.42413793103448,79.82758620689656,4.654251793103449,1009.8965517241379,73.10344827586206
Marshall Islands,Majuro,2024,8,28.364516129032257,79.03225806451613,3.5448312258064516,1010.6451612903226,71.61290322580645
Marshall Islands,Majuro,2024,9,28.496774193548386,80.25806451612904,2.832459935483871,1010.2258064516129,75.96774193548387
Marshall Islands,Majuro,2024,10,28.58709677419355,79.83870967741936,4.227632387096775,1010.1935483870968,71.12903225806451
Marshall Islands,Majuro,2024,11,28.146666666666665,82.86666666666666,5.623193133333333,1009.3666666666667,69.0
Marshall Islands,Majuro,2024,12,28.0,82.41935483870968,9.636277806451615,1009.3225806451613,64.51612903225806
Marshall Islands,Majuro,2025,1,28.038709677419355,78.7741935483871,9.578033612903228,1010.0967741935484,69.03225806451613
Marshall Islands,Majuro,2025,2,27.557142857142857,81.5,8.424670571428573,1010.6071428571429,71.96428571428571
Marshall Islands,Majuro,2025,3,28.141935483870967,80.90322580645162,8.948100258064517,1010.7096774193549,65.3225806451613
Marshall Islands,Majuro,2025,4,27.833333333333332,82.66666666666667,8.320436933333333,1010.3666666666667,68.66666666666667
Marshall Islands,Majuro,2025,5,28.187096774193545,82.54838709677419,7.517981290322581,1010.0322580645161,62.25806451612903
Marshall Islands,Majuro,2025,6,28.09333333333333,81.46666666666667,7.2093169333333345,1010.6666666666666,63.0
Marshall Islands,Majuro,2025,7,27.619999999999997,86.0,6.716720400000002,1009.8,67.0
