Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Mauritania,Nouakchott,2024,5,25.876470588235293,52.705882352941174,6.504954000000001,1011.7058823529412,84.11764705882354
Mauritania,Nouakchott,2024,6,27.44,55.166666666666664,5.911158400000001,1011.0333333333333,84.66666666666667
Mauritania,Nouakchott,2024,7,26.20344827586207,72.3103448275862,5.864031586206898,1012.7241379310345,90.17241379310344
Mauritania,Nouakchott,2024,8,28.02258064516129,70.3225806451613,5.326207483870968,1011.3548387096774,84.83870967741936
Mauritania,Nouakchott,2024,9,28.063333333333333,62.56666666666667,4.682444866666668,1011.8333333333334,83.66666666666667
Mauritania,Nouakchott,2024,10,27.29032258064516,55.32258064516129,4.746453741935484,1012.9354838709677,87.41935483870968
Mauritania,Nouakchott,2024,11,24.93,37.86666666666667,5.162078333333334,1013.8333333333334,93.33333333333333
Mauritania,Nouakchott,2024,12,22.858064516129033,31.967741935483872,6.43553535483871,1016.8387096774194,83.87096774193549
Mauritania,Nouakchott,2025,1,20.09032258064516,30.0,7.200774451612904,1017.516129032258,74.51612903225806
Mauritania,Nouakchott,2025,2,20.57857142857143,32.07142857142857,7.055612000000001,1016.0,76.07142857142857
Mauritania,Nouakchott,2025,3,19.361290322580647,56.32258064516129,6.3979006451612905,1014.3870967741935,71.7741935483871
Mauritania,Nouakchott,2025,4,22.296666666666667,54.3,6.100048800000001,1011.9666666666667,81.16666666666667
Mauritania,Nouakchott,2025,5,23.051612903225806,56.38709677419355,5.894312387096774,1012.516129032258,80.64516129032258
Mauritania,Nouakchott,2025,6,23.709999999999997,68.0,5.7194902,1012.7666666666667,81.83333333333333
Mauritania,Nouakchott,2025,7,23.34,82.6,5.13893,1012.8,77.0
