Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Mauritius,Port Louis,2024,5,23.823529411764707,79.88235294117646,4.511474,1017.4705882352941,87.6470588235294
Mauritius,Port Louis,2024,6,23.39333333333333,73.7,5.423191533333334,1019.1333333333333,86.66666666666667
Mauritius,Port Louis,2024,7,23.23793103448276,64.0,4.44256427586207,1018.8965517241379,84.48275862068965
Mauritius,Port Louis,2024,8,22.358064516129033,61.483870967741936,6.396108516129033,1020.1935483870968,72.90322580645162
Mauritius,Port Louis,2024,9,24.696666666666665,63.5,5.966714400000001,1019.3333333333334,88.83333333333333
Mauritius,Port Louis,2024,10,25.5,67.6774193548387,5.262586903225807,1017.516129032258,88.38709677419355
Mauritius,Port Louis,2024,11,27.743333333333332,66.33333333333333,5.407450666666667,1015.2666666666667,80.33333333333333
Mauritius,Port Louis,2024,12,28.741935483870968,62.54838709677419,5.300221612903226,1014.5806451612904,73.54838709677419
Mauritius,Port Louis,2025,1,30.461290322580645,63.74193548387097,5.128177225806452,1012.2903225806451,74.51612903225806
Mauritius,Port Louis,2025,2,30.75357142857143,71.14285714285714,4.470273857142858,1010.0357142857143,71.42857142857143
Mauritius,Port Louis,2025,3,30.503225806451614,69.2258064516129,4.501828129032258,1012.6129032258065,73.54838709677419
Mauritius,Port Louis,2025,4,29.07,73.93333333333334,4.8537425333333335,1014.7,74.33333333333333
Mauritius,Port Louis,2025,5,27.103225806451615,71.29032258064517,6.175676645161292,1017.4193548387096,79.83870967741936
Mauritius,Port Louis,2025,6,25.466666666666665,64.1,6.357458266666668,1020.8666666666667,88.83333333333333
Mauritius,Port Louis,2025,7,23.1,67.2,8.100064800000002,1022.4,79.0
