Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Micronesia,Palikir,2024,5,27.375,86.75,3.0677328750000004,1010.125,73.75
Micronesia,Palikir,2024,6,27.151724137931033,89.06896551724138,2.2375657931034483,1011.5172413793103,76.20689655172414
Micronesia,Palikir,2024,7,27.23,86.2,2.4509455333333334,1010.7333333333333,76.16666666666667
Micronesia,Palikir,2024,8,27.238709677419354,84.35483870967742,2.0358585806451615,1011.4193548387096,77.74193548387096
Micronesia,Palikir,2024,9,26.616666666666667,90.66666666666667,2.6287247333333337,1011.0,79.5
Micronesia,Palikir,2024,10,28.1,82.70967741935483,3.6666960000000004,1010.3548387096774,71.7741935483871
Micronesia,Palikir,2024,11,27.94333333333333,84.3,5.6537489333333335,1009.7666666666667,68.33333333333333
Micronesia,Palikir,2024,12,27.761290322580646,84.41935483870968,8.668528129032259,1009.6774193548387,64.83870967741936
Micronesia,Palikir,2025,1,28.02258064516129,81.45161290322581,9.250074,1010.4193548387096,66.45161290322581
Micronesia,Palikir,2025,2,27.646428571428572,84.57142857142857,8.665743928571429,1010.7857142857143,66.60714285714286
Micronesia,Palikir,2025,3,28.09032258064516,81.41935483870968,9.461545225806452,1010.8709677419355,67.09677419354838
Micronesia,Palikir,2025,4,28.44,82.16666666666667,8.1195094,1010.2666666666667,68.0
Micronesia,Palikir,2025,5,28.27741935483871,84.51612903225806,7.217799677419356,1009.3548387096774,65.80645161290323
Micronesia,Palikir,2025,6,28.386666666666667,82.76666666666667,6.438014466666668,1010.4666666666667,63.333333333333336
Micronesia,Palikir,2025,7,29.419999999999998,80.8,6.0667152,1010.2,75.0
