Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Monaco,Monaco,2024,5,20.88235294117647,69.76470588235294,4.759842,1011.4117647058823,78.23529411764706
Monaco,Monaco,2024,6,23.579310344827583,69.89655172413794,5.071879655172415,1013.1724137931035,92.06896551724138
Monaco,Monaco,2024,7,26.914285714285715,71.89285714285714,3.1537950714285716,1013.6071428571429,94.64285714285714
Monaco,Monaco,2024,8,28.55483870967742,65.19354838709677,3.1980542580645164,1013.0645161290323,85.80645161290323
Monaco,Monaco,2024,9,23.77,59.166666666666664,4.0861438,1012.5333333333333,87.5
Monaco,Monaco,2024,10,19.561290322580643,71.3225806451613,2.136217806451613,1016.6451612903226,74.35483870967742
Monaco,Monaco,2024,11,14.08,60.96666666666667,1.9389044000000004,1020.6,77.33333333333333
Monaco,Monaco,2024,12,11.558064516129033,47.87096774193548,1.4462481290322582,1021.2258064516129,80.0
Monaco,Monaco,2025,1,11.429032258064517,62.45161290322581,2.578873677419355,1018.0322580645161,73.06451612903226
Monaco,Monaco,2025,2,12.728571428571428,62.892857142857146,1.9335472142857146,1021.9642857142857,77.14285714285714
Monaco,Monaco,2025,3,14.48709677419355,60.903225806451616,3.1514589032258065,1014.516129032258,74.83870967741936
Monaco,Monaco,2025,4,16.81,69.46666666666667,2.807429866666667,1015.0666666666667,72.33333333333333
Monaco,Monaco,2025,5,19.825806451612905,68.58064516129032,2.9077293548387098,1014.1290322580645,74.6774193548387
Monaco,Monaco,2025,6,26.006666666666668,70.53333333333333,2.7092809333333334,1017.5,93.83333333333333
Monaco,Monaco,2025,7,29.98,60.8,2.91669,1016.4,80.0
