Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Morocco,Rabat,2024,5,21.9375,62.8125,4.510452750000001,1013.75,85.3125
Morocco,Rabat,2024,6,23.65,64.1,4.804668066666666,1014.3666666666667,94.66666666666667
Morocco,Rabat,2024,7,25.525000000000002,67.0,4.230192571428572,1014.3928571428571,95.35714285714286
Morocco,Rabat,2024,8,26.5,66.16129032258064,4.105767612903226,1013.1612903225806,96.45161290322581
Morocco,Rabat,2024,9,24.529999999999998,67.73333333333333,3.4509535333333337,1014.6333333333333,97.0
Morocco,Rabat,2024,10,21.73225806451613,77.7741935483871,3.4444720000000006,1016.9032258064516,78.70967741935483
Morocco,Rabat,2024,11,20.436666666666667,66.76666666666667,2.6222432,1019.1,80.0
Morocco,Rabat,2024,12,17.345161290322583,65.29032258064517,2.6657919354838713,1025.0,74.51612903225806
Morocco,Rabat,2025,1,15.96774193548387,66.29032258064517,3.776911935483871,1023.4516129032259,72.41935483870968
Morocco,Rabat,2025,2,16.021428571428572,75.39285714285714,3.4682817142857147,1021.6071428571429,70.17857142857143
Morocco,Rabat,2025,3,15.974193548387097,81.80645161290323,5.476746322580646,1013.3870967741935,61.935483870967744
Morocco,Rabat,2025,4,18.209999999999997,82.13333333333334,3.8092897333333338,1014.0333333333333,69.5
Morocco,Rabat,2025,5,20.661290322580644,73.38709677419355,3.4856909677419354,1015.5806451612904,75.16129032258064
Morocco,Rabat,2025,6,24.35,69.76666666666667,3.454657266666667,1016.2,86.83333333333333
Morocco,Rabat,2025,7,24.419999999999998,79.0,2.7611332,1015.0,94.0
