Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Mozambique,Maputo,2024,5,26.33529411764706,55.05882352941177,3.6650620000000003,1019.7647058823529,97.05882352941177
Mozambique,Maputo,2024,6,24.68,53.666666666666664,4.137070133333333,1020.5666666666667,92.66666666666667
Mozambique,Maputo,2024,7,26.56896551724138,38.48275862068966,4.339115172413793,1015.4827586206897,86.55172413793103
Mozambique,Maputo,2024,8,26.5,46.70967741935484,5.604883548387098,1018.8709677419355,79.35483870967742
Mozambique,Maputo,2024,9,25.736666666666668,55.3,5.412080333333334,1018.1666666666666,81.5
Mozambique,Maputo,2024,10,26.0258064516129,55.70967741935484,4.1353377419354835,1018.9032258064516,89.03225806451613
Mozambique,Maputo,2024,11,27.6,61.43333333333333,3.315767266666667,1015.8333333333334,85.16666666666667
Mozambique,Maputo,2024,12,31.161290322580644,56.193548387096776,4.531398258064517,1012.3548387096774,76.45161290322581
Mozambique,Maputo,2025,1,30.81935483870968,62.12903225806452,4.344120774193549,1010.3548387096774,75.48387096774194
Mozambique,Maputo,2025,2,29.810714285714287,66.46428571428571,4.459361071428572,1011.8214285714286,72.85714285714286
Mozambique,Maputo,2025,3,28.780645161290323,65.61290322580645,3.0932147096774196,1016.0,80.64516129032258
Mozambique,Maputo,2025,4,26.36,66.13333333333334,3.3842863333333337,1017.2666666666667,87.33333333333333
Mozambique,Maputo,2025,5,24.287096774193547,60.67741935483871,3.1702762580645163,1021.7741935483871,96.29032258064517
Mozambique,Maputo,2025,6,22.290000000000003,59.13333333333333,3.9731799333333337,1022.5666666666667,86.33333333333333
Mozambique,Maputo,2025,7,22.66,51.0,3.4166940000000006,1022.4,94.0
