Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Nepal,Kathmandu,2024,5,24.941176470588236,66.58823529411765,2.717342,1011.3529411764706,95.29411764705883
Nepal,Kathmandu,2024,6,25.59333333333333,70.06666666666666,2.760207266666667,1007.8,93.83333333333333
Nepal,Kathmandu,2024,7,23.839285714285715,88.60714285714286,1.7460457142857144,1005.0,71.96428571428571
Nepal,Kathmandu,2024,8,23.148387096774194,87.83870967741936,2.1810210322580645,1008.7741935483871,65.64516129032258
Nepal,Kathmandu,2024,9,25.240000000000002,77.1,2.2027954,1012.1333333333333,81.83333333333333
Nepal,Kathmandu,2024,10,22.496774193548386,69.09677419354838,1.7285084516129032,1010.741935483871,75.64516129032258
Nepal,Kathmandu,2024,11,19.826666666666664,56.333333333333336,1.5120491333333335,1015.5333333333333,74.66666666666667
Nepal,Kathmandu,2024,12,13.654838709677419,53.25806451612903,1.415781935483871,1014.5806451612904,79.35483870967742
Nepal,Kathmandu,2025,1,17.61935483870968,46.483870967741936,1.7948172258064519,1016.1935483870968,81.93548387096774
Nepal,Kathmandu,2025,2,19.607142857142858,42.32142857142857,2.9613332142857147,1015.6785714285714,81.42857142857143
Nepal,Kathmandu,2025,3,24.26774193548387,35.16129032258065,3.4247585806451615,1014.1290322580645,92.25806451612904
Nepal,Kathmandu,2025,4,26.15666666666667,38.766666666666666,2.9842831333333337,1014.3666666666667,88.0
Nepal,Kathmandu,2025,5,26.161290322580644,57.0,1.914889870967742,1011.6774193548387,82.41935483870968
Nepal,Kathmandu,2025,6,27.44,64.56666666666666,1.7648289333333333,1009.1,81.83333333333333
Nepal,Kathmandu,2025,7,26.96,75.6,1.9222376,1007.6,89.0
