Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
New Zealand,Wellington,2024,5,10.5,80.375,6.175396625,1012.4375,65.0
New Zealand,Wellington,2024,6,10.553333333333335,83.53333333333333,4.5500364,1016.9,63.0
New Zealand,Wellington,2024,7,9.920689655172414,83.6896551724138,6.108286413793103,1018.6896551724138,60.3448275862069
New Zealand,Wellington,2024,8,10.364516129032259,80.80645161290323,6.851309290322581,1016.8064516129032,57.41935483870968
New Zealand,Wellington,2024,9,12.02258064516129,76.54838709677419,7.771567548387098,1010.1935483870968,61.61290322580645
New Zealand,Wellington,2024,10,12.303225806451612,82.83870967741936,7.141634193548388,1013.258064516129,60.16129032258065
New Zealand,Wellington,2024,11,13.85,79.23333333333333,7.1657980666666665,1018.1333333333333,63.166666666666664
New Zealand,Wellington,2024,12,15.903225806451612,84.06451612903226,8.24289748387097,1008.4193548387096,57.41935483870968
New Zealand,Wellington,2025,1,15.82258064516129,78.61290322580645,6.431055032258064,1012.5806451612904,66.93548387096774
New Zealand,Wellington,2025,2,17.785714285714285,80.35714285714286,5.102223357142857,1017.3571428571429,69.10714285714286
New Zealand,Wellington,2025,3,16.419354838709676,80.93548387096774,6.0457472903225815,1018.6451612903226,64.19354838709677
New Zealand,Wellington,2025,4,15.94,79.2,5.837083733333333,1016.6,65.83333333333333
New Zealand,Wellington,2025,5,13.296774193548387,79.87096774193549,7.29665335483871,1018.3225806451613,59.03225806451613
New Zealand,Wellington,2025,6,11.4,79.63333333333334,6.663016266666668,1013.7,61.833333333333336
New Zealand,Wellington,2025,7,10.42,88.0,5.2389308,1017.8,54.0
