Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Niger,Niamey,2024,5,40.588235294117645,21.058823529411764,4.37912,1008.0,75.29411764705883
Niger,Niamey,2024,6,37.32,31.033333333333335,4.748186133333333,1009.5666666666667,74.33333333333333
Niger,Niamey,2024,7,32.81071428571429,50.714285714285715,5.0347625,1011.4285714285714,72.67857142857143
Niger,Niamey,2024,8,30.806451612903224,59.87096774193548,5.7366050322580655,1011.3870967741935,68.87096774193549
Niger,Niamey,2024,9,30.413333333333334,64.16666666666667,3.6787331333333335,1013.3,76.0
Niger,Niamey,2024,10,31.63225806451613,51.61290322580645,3.8539734838709685,1013.6451612903226,79.19354838709677
Niger,Niamey,2024,11,27.666666666666668,21.233333333333334,6.388940000000001,1015.0666666666667,82.66666666666667
Niger,Niamey,2024,12,27.6,15.193548387096774,6.85220535483871,1016.0645161290323,80.96774193548387
Niger,Niamey,2025,1,28.006451612903227,14.35483870967742,6.644318387096775,1015.3548387096774,79.35483870967742
Niger,Niamey,2025,2,30.107142857142858,12.857142857142858,6.323463285714287,1013.25,76.07142857142857
Niger,Niamey,2025,3,34.38387096774194,14.290322580645162,5.414917870967742,1010.7096774193549,74.19354838709677
Niger,Niamey,2025,4,34.096666666666664,30.4,4.605592400000001,1009.9666666666667,75.33333333333333
Niger,Niamey,2025,5,32.76129032258065,47.645161290322584,5.412229677419355,1011.5806451612904,73.54838709677419
Niger,Niamey,2025,6,30.34,59.43333333333333,6.160234466666667,1013.1333333333333,72.33333333333333
Niger,Niamey,2025,7,27.580000000000002,73.6,5.761157200000001,1014.4,80.0
