Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Norway,Oslo,2024,5,19.294117647058822,48.294117647058826,4.7386,1016.5294117647059,82.6470588235294
Norway,Oslo,2024,6,13.076666666666666,73.76666666666667,9.864893733333334,1006.5333333333333,63.5
Norway,Oslo,2024,7,16.275,72.67857142857143,6.226240285714286,1008.3571428571429,70.53571428571429
Norway,Oslo,2024,8,16.712903225806453,71.03225806451613,7.905081161290323,1005.1935483870968,65.16129032258064
Norway,Oslo,2024,9,11.826666666666666,78.53333333333333,5.560229666666667,1013.5,68.5
Norway,Oslo,2024,10,9.570967741935483,82.35483870967742,2.084246064516129,1009.516129032258,64.35483870967742
Norway,Oslo,2024,11,2.2866666666666666,78.86666666666666,2.0333496,1011.9,68.83333333333333
Norway,Oslo,2024,12,0.667741935483871,81.03225806451613,2.237473096774194,1011.6451612903226,68.70967741935483
Norway,Oslo,2025,1,-1.8838709677419354,85.35483870967742,1.9829907741935486,1005.8064516129032,68.87096774193549
Norway,Oslo,2025,2,-2.692857142857143,81.92857142857143,1.7500140000000002,1025.4285714285713,69.46428571428571
Norway,Oslo,2025,3,4.241935483870968,73.2258064516129,2.134425677419355,1012.0967741935484,72.74193548387096
Norway,Oslo,2025,4,9.286666666666667,67.83333333333333,2.3287223333333333,1017.5666666666667,69.66666666666667
Norway,Oslo,2025,5,11.399999999999999,64.03225806451613,3.5045083225806457,1014.2903225806451,70.48387096774194
Norway,Oslo,2025,6,15.053333333333335,64.4,3.4981761333333337,1008.1333333333333,71.83333333333333
Norway,Oslo,2025,7,14.4,75.0,3.2778040000000006,1012.4,63.0
