Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Oman,Muscat,2024,5,36.76470588235294,34.705882352941174,2.676492,1001.8823529411765,79.41176470588235
Oman,Muscat,2024,6,36.82666666666667,49.4,3.791697,997.6,78.33333333333333
Oman,Muscat,2024,7,35.800000000000004,54.724137931034484,4.2749384137931035,994.0,76.89655172413794
Oman,Muscat,2024,8,31.93548387096774,65.58064516129032,4.267059225806452,998.9677419354839,76.7741935483871
Oman,Muscat,2024,9,32.88,62.4,3.9213276666666674,1002.9666666666667,78.0
Oman,Muscat,2024,10,32.52903225806452,57.16129032258065,4.5331903870967745,1009.483870967742,76.7741935483871
Oman,Muscat,2024,11,30.529999999999998,51.0,3.0528022000000004,1013.9666666666667,79.33333333333333
Oman,Muscat,2024,12,25.516129032258064,46.67741935483871,4.419390193548388,1016.258064516129,96.7741935483871
Oman,Muscat,2025,1,23.845161290322583,47.483870967741936,4.582473935483871,1016.6129032258065,95.16129032258064
Oman,Muscat,2025,2,25.667857142857144,57.17857142857143,5.042699071428572,1014.5,94.28571428571429
Oman,Muscat,2025,3,28.874193548387098,40.96774193548387,5.345024838709678,1014.0645161290323,80.64516129032258
Oman,Muscat,2025,4,35.693333333333335,29.733333333333334,5.496340266666667,1008.6666666666666,72.66666666666667
Oman,Muscat,2025,5,37.71612903225807,40.935483870967744,5.922986451612903,1002.9354838709677,72.09677419354838
Oman,Muscat,2025,6,39.026666666666664,41.766666666666666,4.8657796666666675,998.9,74.16666666666667
Oman,Muscat,2025,7,33.519999999999996,78.2,3.7778080000000003,996.0,80.0
