Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Palau,Airai,2024,8,26.72941176470588,89.88235294117646,2.169952,1010.2941176470588,78.23529411764706
Palau,Airai,2024,9,27.546666666666667,85.36666666666666,3.7676227333333334,1008.9,76.5
Palau,Airai,2024,10,28.638709677419353,79.35483870967742,5.162227677419356,1007.8387096774194,69.19354838709677
Palau,Airai,2024,11,28.59,81.4,4.694482,1007.9333333333333,72.83333333333333
Palau,Airai,2024,12,27.787096774193547,84.64516129032258,5.093230709677419,1007.8387096774194,66.29032258064517
Palau,Airai,2025,1,27.403225806451612,85.7741935483871,6.600411225806452,1008.6451612903226,70.3225806451613
Palau,Airai,2025,2,27.357142857142858,84.71428571428571,7.514941071428572,1009.5357142857143,71.25
Palau,Airai,2025,3,27.551612903225806,84.29032258064517,6.37101870967742,1008.741935483871,66.45161290322581
Palau,Airai,2025,4,28.706666666666667,81.2,5.502821800000001,1008.8666666666667,70.33333333333333
Palau,Airai,2025,5,28.761290322580646,81.48387096774194,4.522437612903226,1008.4193548387096,71.7741935483871
Palau,Airai,2025,6,27.996666666666666,83.53333333333333,3.939846333333334,1008.8,70.66666666666667
Palau,Airai,2025,7,28.26,81.2,4.922261600000001,1009.4,75.0
