Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Panama,Panama City,2024,5,28.176470588235293,85.0,2.09152,1011.2352941176471,77.94117647058823
Panama,Panama City,2024,6,27.55,86.26666666666667,1.9000152000000001,1011.1666666666666,74.5
Panama,Panama City,2024,7,26.051724137931036,92.10344827586206,1.4578660689655174,1010.5862068965517,77.41379310344827
Panama,Panama City,2024,8,25.548387096774192,92.3225806451613,1.5672168387096774,1011.1935483870968,77.58064516129032
Panama,Panama City,2024,9,25.91,92.9,1.7120507333333337,1009.2,82.33333333333333
Panama,Panama City,2024,10,25.10666666666667,94.46666666666667,1.8398295333333334,1009.3333333333334,84.33333333333333
Panama,Panama City,2024,11,24.848275862068967,92.13793103448276,2.6398678620689653,1009.1379310344828,82.24137931034483
Panama,Panama City,2024,12,24.55483870967742,93.16129032258064,2.436399419354839,1009.483870967742,83.06451612903226
Panama,Panama City,2025,1,24.956666666666667,89.93333333333334,2.399093266666667,1010.1,85.0
Panama,Panama City,2025,2,24.853571428571428,88.14285714285714,2.3680745,1009.5357142857143,86.07142857142857
Panama,Panama City,2025,3,25.080645161290324,85.16129032258064,2.330663806451613,1010.1612903225806,85.96774193548387
Panama,Panama City,2025,4,25.723333333333336,87.83333333333333,2.3648337333333336,1009.3,85.33333333333333
Panama,Panama City,2025,5,25.796666666666667,92.56666666666666,1.8379776666666667,1009.2333333333333,82.33333333333333
Panama,Panama City,2025,6,25.616666666666667,92.9,1.7453843333333334,1009.9,83.66666666666667
Panama,Panama City,2025,7,25.6,93.0,2.22224,1010.2,85.0
