Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Papua New Guinea,Port Moresby,2024,5,25.6375,88.125,3.6250290000000005,1009.0625,81.5625
Papua New Guinea,Port Moresby,2024,6,25.02258064516129,88.35483870967742,4.2123992903225815,1011.3870967741935,80.48387096774194
Papua New Guinea,Port Moresby,2024,7,24.414285714285715,83.60714285714286,4.701426500000001,1012.1428571428571,78.92857142857143
Papua New Guinea,Port Moresby,2024,8,25.27741935483871,86.29032258064517,5.344128774193549,1011.5806451612904,75.3225806451613
Papua New Guinea,Port Moresby,2024,9,26.223333333333336,83.0,5.5204145333333345,1010.3,81.83333333333333
Papua New Guinea,Port Moresby,2024,10,26.067741935483873,86.48387096774194,4.993767548387098,1009.0645161290323,71.61290322580645
Papua New Guinea,Port Moresby,2024,11,27.483333333333334,82.63333333333334,4.4833692,1007.6333333333333,73.0
Papua New Guinea,Port Moresby,2024,12,26.932258064516127,85.25806451612904,2.0994791612903225,1007.1612903225806,78.54838709677419
Papua New Guinea,Port Moresby,2025,1,27.190322580645162,84.90322580645162,1.967757677419355,1007.5483870967741,75.64516129032258
Papua New Guinea,Port Moresby,2025,2,26.982142857142858,84.75,2.2678752857142856,1008.3214285714286,81.60714285714286
Papua New Guinea,Port Moresby,2025,3,27.041935483870965,87.2258064516129,1.8037778709677421,1008.0,71.29032258064517
Papua New Guinea,Port Moresby,2025,4,27.033333333333335,87.4,2.560205666666667,1008.4333333333333,71.66666666666667
Papua New Guinea,Port Moresby,2025,5,27.6,86.48387096774194,3.7347969032258073,1007.5806451612904,72.09677419354838
Papua New Guinea,Port Moresby,2025,6,27.31,84.36666666666666,4.868557466666667,1008.8,76.0
Papua New Guinea,Port Moresby,2025,7,27.119999999999997,84.2,6.0333816,1009.2,68.0
