Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Paraguay,Aurora,2024,6,18.75,60.0,3.1916922000000003,1014.8,78.0
Paraguay,Aurora,2024,7,15.189655172413794,56.3448275862069,2.8084515862068966,1020.7586206896551,80.34482758620689
Paraguay,Aurora,2024,8,18.12258064516129,49.064516129032256,3.4014609032258067,1016.516129032258,82.25806451612904
Paraguay,Aurora,2024,9,22.59,45.03333333333333,3.375027,1010.7333333333333,85.83333333333333
Paraguay,Aurora,2024,10,23.04516129032258,59.516129032258064,3.0107767741935487,1008.7741935483871,81.93548387096774
Paraguay,Aurora,2024,11,22.529999999999998,73.63333333333334,2.6592805333333334,1007.8333333333334,77.66666666666667
Paraguay,Aurora,2024,12,22.04516129032258,69.3225806451613,2.603963483870968,1009.6774193548387,78.06451612903226
Paraguay,Aurora,2025,1,24.64333333333333,64.3,1.9009411333333335,1008.0333333333333,91.83333333333333
Paraguay,Aurora,2025,2,24.928571428571427,68.57142857142857,2.5347425,1008.1071428571429,91.25
Paraguay,Aurora,2025,3,22.23225806451613,81.80645161290323,2.26883535483871,1010.9032258064516,76.61290322580645
Paraguay,Aurora,2025,4,17.959999999999997,80.16666666666667,2.1305726000000003,1013.0666666666667,70.0
Paraguay,Aurora,2025,5,18.31935483870968,78.58064516129032,2.659519483870968,1012.8387096774194,76.7741935483871
Paraguay,Aurora,2025,6,12.87,80.06666666666666,2.529649866666667,1015.8333333333334,69.0
Paraguay,Aurora,2025,7,8.9,58.6,2.0222384,1026.0,77.0
