Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Philippines,Manila,2024,5,30.375,74.5,2.022585625,1009.5625,78.75
Philippines,Manila,2024,6,28.853333333333335,83.3,2.0926093333333333,1010.3333333333334,70.66666666666667
Philippines,Manila,2024,7,28.3,83.75,2.7152995,1008.8214285714286,67.85714285714286
Philippines,Manila,2024,8,28.812903225806455,81.35483870967742,2.7661511612903227,1008.7096774193549,71.29032258064517
Philippines,Manila,2024,9,28.723333333333336,86.4,2.8583562000000002,1006.1,68.33333333333333
Philippines,Manila,2024,10,29.638709677419357,76.87096774193549,3.6604235483870973,1006.2258064516129,72.09677419354838
Philippines,Manila,2024,11,30.173333333333336,69.03333333333333,3.710214866666667,1008.3333333333334,73.33333333333333
Philippines,Manila,2024,12,28.038709677419355,77.61290322580645,3.8011056774193555,1009.7096774193549,76.61290322580645
Philippines,Manila,2025,1,28.229032258064517,70.90322580645162,3.805586000000001,1010.6129032258065,81.12903225806451
Philippines,Manila,2025,2,28.964285714285715,69.32142857142857,4.408765428571429,1011.2857142857143,78.21428571428571
Philippines,Manila,2025,3,31.016129032258064,62.064516129032256,5.5735212903225815,1009.6774193548387,71.7741935483871
Philippines,Manila,2025,4,34.21333333333334,53.5,4.990780666666667,1008.1,73.33333333333333
Philippines,Manila,2025,5,33.73548387096774,58.67741935483871,4.680144967741936,1006.9032258064516,74.6774193548387
Philippines,Manila,2025,6,30.276666666666667,78.8,3.707437066666667,1006.9666666666667,70.0
Philippines,Manila,2025,7,29.160000000000004,82.4,5.2389308,1007.2,58.0
