Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Portugal,Lisbon,2024,5,23.11764705882353,47.88235294117647,4.6699720000000005,1015.3529411764706,80.58823529411765
Portugal,Lisbon,2024,6,23.34333333333333,60.8,5.460228866666667,1015.1333333333333,79.66666666666667
Portugal,Lisbon,2024,7,26.98148148148148,51.851851851851855,4.018550666666667,1015.7777777777778,86.85185185185185
Portugal,Lisbon,2024,8,27.003225806451614,50.03225806451613,4.972262000000001,1015.4516129032259,87.41935483870968
Portugal,Lisbon,2024,9,22.7,58.7,4.462072733333334,1016.2666666666667,83.5
Portugal,Lisbon,2024,10,18.793548387096774,87.09677419354838,4.279604129032259,1016.3225806451613,63.70967741935484
Portugal,Lisbon,2024,11,14.69,90.76666666666667,3.6518810666666672,1019.9666666666667,66.33333333333333
Portugal,Lisbon,2024,12,11.206451612903225,79.93548387096774,3.438199548387097,1027.9354838709678,70.0
Portugal,Lisbon,2025,1,12.35483870967742,84.19354838709677,4.919394193548388,1022.0967741935484,61.61290322580645
Portugal,Lisbon,2025,2,12.289285714285715,90.42857142857143,2.9285948571428575,1022.2142857142857,63.214285714285715
Portugal,Lisbon,2025,3,12.845161290322581,84.35483870967742,4.621004709677419,1011.0322580645161,65.3225806451613
Portugal,Lisbon,2025,4,15.523333333333333,81.63333333333334,4.779667866666667,1013.9666666666667,64.83333333333333
Portugal,Lisbon,2025,5,17.603225806451615,73.48387096774194,3.722252,1016.741935483871,71.93548387096774
Portugal,Lisbon,2025,6,21.333333333333332,68.33333333333333,3.5722508000000004,1018.3,81.33333333333333
Portugal,Lisbon,2025,7,22.84,73.4,2.6833548000000005,1016.8,90.0
