Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Qatar,Doha,2024,5,37.11764705882353,27.823529411764707,6.060506,1003.4705882352941,72.94117647058823
Qatar,Doha,2024,6,39.01,34.7,4.5472586,998.4333333333333,77.33333333333333
Qatar,Doha,2024,7,40.793103448275865,32.58620689655172,6.35924627586207,994.3103448275862,74.13793103448276
Qatar,Doha,2024,8,38.75483870967742,47.87096774193548,5.9113376129032265,997.5806451612904,72.58064516129032
Qatar,Doha,2024,9,38.233333333333334,43.4,4.707445066666667,1002.6666666666666,77.0
Qatar,Doha,2024,10,34.413333333333334,45.2,5.120411333333334,1010.2,75.0
Qatar,Doha,2024,11,29.98,48.166666666666664,4.593555266666668,1015.1,78.0
Qatar,Doha,2024,12,24.112903225806452,45.41935483870968,4.48211470967742,1017.6774193548387,90.64516129032258
Qatar,Doha,2025,1,22.335483870967742,43.645161290322584,5.193589935483872,1018.6774193548387,89.6774193548387
Qatar,Doha,2025,2,22.310714285714287,49.464285714285715,5.556592071428573,1016.0714285714286,86.78571428571429
Qatar,Doha,2025,3,26.403225806451612,37.29032258064516,5.695386064516129,1014.741935483871,84.51612903225806
Qatar,Doha,2025,4,35.17666666666666,20.966666666666665,5.594489200000001,1009.3333333333334,74.66666666666667
Qatar,Doha,2025,5,39.76129032258064,18.64516129032258,6.136249806451613,1004.0967741935484,74.19354838709677
Qatar,Doha,2025,6,41.71,17.166666666666668,7.096353066666667,999.7333333333333,73.0
Qatar,Doha,2025,7,43.120000000000005,12.0,10.0056356,996.6,70.0
