Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Rwanda,Kigali,2024,5,26.764705882352942,47.76470588235294,2.669956,1019.0,100.0
Rwanda,Kigali,2024,6,26.396666666666665,40.8,2.8444672,1018.3,97.66666666666667
Rwanda,Kigali,2024,7,28.49285714285714,29.25,2.4037890714285717,1015.3214285714286,85.71428571428571
Rwanda,Kigali,2024,8,28.480645161290322,30.35483870967742,2.856653677419355,1015.2903225806451,87.41935483870968
Rwanda,Kigali,2024,9,27.65,38.56666666666667,3.315767266666667,1019.0666666666667,85.83333333333333
Rwanda,Kigali,2024,10,26.009677419354837,52.774193548387096,1.851269290322581,1019.0645161290323,89.6774193548387
Rwanda,Kigali,2024,11,23.990000000000002,63.4,1.5722348000000002,1018.7,90.5
Rwanda,Kigali,2024,12,24.638709677419353,60.225806451612904,2.088726387096774,1017.1935483870968,87.25806451612904
Rwanda,Kigali,2025,1,25.30322580645161,54.83870967741935,1.7786880645161292,1018.7741935483871,96.12903225806451
Rwanda,Kigali,2025,2,26.235714285714288,52.714285714285715,1.892872285714286,1019.1785714285714,90.17857142857143
Rwanda,Kigali,2025,3,24.15806451612903,63.38709677419355,1.4256386451612906,1020.741935483871,89.83870967741936
Rwanda,Kigali,2025,4,23.226666666666667,68.76666666666667,1.3324180666666667,1021.4,94.33333333333333
Rwanda,Kigali,2025,5,22.67096774193548,70.25806451612904,1.5331663870967744,1023.5806451612904,90.0
Rwanda,Kigali,2025,6,22.623333333333335,61.86666666666667,1.8213108666666669,1023.8333333333334,93.0
Rwanda,Kigali,2025,7,23.78,50.4,2.000016,1024.0,100.0
