Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Saint Kitts and Nevis,Basseterre,2024,5,29.764705882352942,76.6470588235294,4.8203000000000005,1015.9411764705883,73.52941176470588
Saint Kitts and Nevis,Basseterre,2024,6,30.226666666666667,71.43333333333334,7.333392000000001,1015.9333333333333,70.0
Saint Kitts and Nevis,Basseterre,2024,7,28.74827586206897,78.55172413793103,6.43395951724138,1016.5862068965517,65.34482758620689
Saint Kitts and Nevis,Basseterre,2024,8,28.503225806451614,79.45161290322581,6.405965225806452,1015.2903225806451,64.51612903225806
Saint Kitts and Nevis,Basseterre,2024,9,28.376666666666665,79.63333333333334,4.953743333333334,1012.6666666666666,72.5
Saint Kitts and Nevis,Basseterre,2024,10,28.6,72.3225806451613,5.92746677419355,1011.6774193548387,62.41935483870968
Saint Kitts and Nevis,Basseterre,2024,11,27.144827586206898,78.51724137931035,5.43586724137931,1011.0689655172414,78.62068965517241
Saint Kitts and Nevis,Basseterre,2024,12,25.596774193548388,79.19354838709677,7.677480774193549,1014.0,77.58064516129032
Saint Kitts and Nevis,Basseterre,2025,1,24.883333333333333,80.13333333333334,8.2722884,1015.8666666666667,81.83333333333333
Saint Kitts and Nevis,Basseterre,2025,2,24.592857142857145,79.17857142857143,9.439559642857144,1015.9642857142857,83.92857142857143
Saint Kitts and Nevis,Basseterre,2025,3,24.52258064516129,79.64516129032258,6.513492967741936,1014.5483870967741,87.41935483870968
Saint Kitts and Nevis,Basseterre,2025,4,25.1,80.1,7.470430133333334,1014.1666666666666,80.0
Saint Kitts and Nevis,Basseterre,2025,5,26.296774193548387,82.06451612903226,7.504540322580646,1014.8709677419355,66.45161290322581
Saint Kitts and Nevis,Basseterre,2025,6,27.05666666666667,77.83333333333333,8.685254666666667,1016.9666666666667,71.5
Saint Kitts and Nevis,Basseterre,2025,7,26.4,84.0,8.655624800000002,1017.0,62.0
