Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Saudi Arabia,Riyadh,2024,5,40.23529411764706,6.764705882352941,3.495126,1008.9411764705883,78.23529411764706
Saudi Arabia,Riyadh,2024,6,43.656666666666666,4.966666666666667,5.1555968000000005,1003.9333333333333,74.66666666666667
Saudi Arabia,Riyadh,2024,7,43.33571428571429,6.75,5.376035071428572,1000.25,75.0
Saudi Arabia,Riyadh,2024,8,43.358064516129026,8.387096774193548,6.15865141935484,1000.2258064516129,73.87096774193549
Saudi Arabia,Riyadh,2024,9,39.769999999999996,9.766666666666667,4.137070133333334,1007.3666666666667,77.0
Saudi Arabia,Riyadh,2024,10,33.061290322580646,18.419354838709676,3.819923032258065,1013.8064516129032,80.3225806451613
Saudi Arabia,Riyadh,2024,11,27.148275862068964,24.137931034482758,3.7806815862068968,1019.2068965517242,83.44827586206897
Saudi Arabia,Riyadh,2024,12,21.725806451612904,22.258064516129032,3.939099612903226,1019.6774193548387,85.16129032258064
Saudi Arabia,Riyadh,2025,1,17.780645161290323,32.225806451612904,4.179244903225807,1021.4193548387096,77.41935483870968
Saudi Arabia,Riyadh,2025,2,19.210714285714285,31.0,4.432575142857144,1018.4642857142857,80.17857142857143
Saudi Arabia,Riyadh,2025,3,24.887096774193548,25.387096774193548,4.96330135483871,1017.9677419354839,85.16129032258064
Saudi Arabia,Riyadh,2025,4,33.73,10.7,5.1426337333333345,1014.3666666666667,77.66666666666667
Saudi Arabia,Riyadh,2025,5,38.03225806451613,6.870967741935484,4.416702,1011.516129032258,76.12903225806451
Saudi Arabia,Riyadh,2025,6,40.45,5.4,3.3759529333333336,1008.4666666666667,77.66666666666667
Saudi Arabia,Riyadh,2025,7,39.18,7.8,3.7833636000000004,1007.0,78.0
