Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Serbia,Belgrade,2024,5,23.823529411764707,48.705882352941174,6.098088000000001,1012.5882352941177,87.6470588235294
Serbia,Belgrade,2024,6,29.323333333333334,45.7,3.6361402000000003,1012.4,82.5
Serbia,Belgrade,2024,7,32.278571428571425,35.92857142857143,3.4335592142857148,1012.5,78.75
Serbia,Belgrade,2024,8,33.619354838709675,28.451612903225808,3.549311548387097,1012.4193548387096,78.38709677419355
Serbia,Belgrade,2024,9,23.813333333333333,50.0,4.302812200000001,1013.5333333333333,78.5
Serbia,Belgrade,2024,10,17.11935483870968,56.41935483870968,3.1648998709677425,1020.8709677419355,76.29032258064517
Serbia,Belgrade,2024,11,7.39,68.76666666666667,2.6472434000000002,1023.9333333333333,73.16666666666667
Serbia,Belgrade,2024,12,4.851612903225806,79.38709677419355,3.0027121935483874,1022.4516129032259,69.03225806451613
Serbia,Belgrade,2025,1,5.72258064516129,77.54838709677419,2.498227870967742,1022.8387096774194,69.35483870967742
Serbia,Belgrade,2025,2,4.525,59.107142857142854,3.6319735000000004,1027.5,75.17857142857143
Serbia,Belgrade,2025,3,12.816129032258065,59.16129032258065,3.8862318064516135,1016.8387096774194,71.29032258064517
Serbia,Belgrade,2025,4,14.92,65.36666666666666,4.179663066666667,1017.1,71.5
Serbia,Belgrade,2025,5,17.835483870967742,60.935483870967744,3.3996687741935485,1015.0,74.6774193548387
Serbia,Belgrade,2025,6,26.27,46.1,2.6648361333333335,1019.4,92.0
Serbia,Belgrade,2025,7,28.2,31.8,2.7222440000000003,1019.0,92.0
