Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Solomon Islands,Honiara,2024,5,25.98125,90.25,2.6527990000000004,1009.75,77.5
Solomon Islands,Honiara,2024,6,25.423333333333336,88.86666666666666,2.4315009333333335,1011.3,77.83333333333333
Solomon Islands,Honiara,2024,7,25.209999999999997,88.16666666666667,2.712984666666667,1011.2333333333333,77.0
Solomon Islands,Honiara,2024,8,25.206451612903226,88.3225806451613,3.4256546451612904,1012.6451612903226,74.51612903225806
Solomon Islands,Honiara,2024,9,26.006666666666668,87.3,2.9268752666666673,1011.0,83.66666666666667
Solomon Islands,Honiara,2024,10,26.683870967741935,86.64516129032258,2.8172268387096775,1010.3548387096774,77.41935483870968
Solomon Islands,Honiara,2024,11,27.48,86.0,2.179647066666667,1009.0,76.5
Solomon Islands,Honiara,2024,12,26.583870967741937,89.54838709677419,1.603955483870968,1008.6129032258065,77.90322580645162
Solomon Islands,Honiara,2025,1,26.62258064516129,90.54838709677419,1.6801209677419358,1008.6129032258065,75.3225806451613
Solomon Islands,Honiara,2025,2,26.571428571428573,89.67857142857143,2.069461,1009.0714285714286,75.0
Solomon Islands,Honiara,2025,3,26.858064516129033,88.35483870967742,2.2518101290322585,1010.0645161290323,74.19354838709677
Solomon Islands,Honiara,2025,4,27.016666666666666,88.5,2.2370549333333334,1009.0333333333333,74.66666666666667
Solomon Islands,Honiara,2025,5,27.27741935483871,87.96774193548387,2.941779806451613,1009.0645161290323,69.83870967741936
Solomon Islands,Honiara,2025,6,26.84,89.2,3.6768812666666673,1009.8333333333334,74.33333333333333
Solomon Islands,Honiara,2025,7,26.1,92.0,3.7611412,1010.8,67.0
