Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
South Africa,Pretoria,2024,5,23.023529411764706,27.058823529411764,3.214078,1025.5882352941176,91.17647058823529
South Africa,Pretoria,2024,6,18.946666666666665,29.666666666666668,3.513917,1025.6666666666667,81.0
South Africa,Pretoria,2024,7,20.593103448275862,14.448275862068966,4.351567379310345,1020.2758620689655,84.13793103448276
South Africa,Pretoria,2024,8,23.629032258064516,18.032258064516128,3.6425022580645163,1021.9677419354839,91.29032258064517
South Africa,Pretoria,2024,9,23.933333333333334,30.433333333333334,4.362071933333334,1022.0666666666667,86.33333333333333
South Africa,Pretoria,2024,10,24.138709677419353,32.32258064516129,3.8620380645161294,1022.3548387096774,86.45161290322581
South Africa,Pretoria,2024,11,25.696666666666665,41.43333333333333,3.8500308000000003,1020.3333333333334,92.33333333333333
South Africa,Pretoria,2024,12,27.580645161290324,46.354838709677416,4.17566064516129,1018.258064516129,80.48387096774194
South Africa,Pretoria,2025,1,26.42258064516129,53.483870967741936,3.2285204516129036,1016.6451612903226,87.41935483870968
South Africa,Pretoria,2025,2,26.075,53.107142857142854,3.2252242142857144,1014.6785714285714,80.17857142857143
South Africa,Pretoria,2025,3,23.887096774193548,59.41935483870968,2.582457935483871,1023.6451612903226,92.25806451612904
South Africa,Pretoria,2025,4,20.03666666666667,64.6,3.0472466000000002,1024.3,78.66666666666667
South Africa,Pretoria,2025,5,17.548387096774192,48.935483870967744,2.431023032258065,1029.3870967741937,80.3225806451613
South Africa,Pretoria,2025,6,14.520000000000001,45.7,2.7222440000000003,1028.7666666666667,78.66666666666667
South Africa,Pretoria,2025,7,12.48,54.2,2.36113,1028.8,80.0
