Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Sri Lanka,Colombo,2024,5,27.052941176470586,90.3529411764706,4.184674,1006.5294117647059,71.76470588235294
Sri Lanka,Colombo,2024,6,28.34,83.6,4.549110466666667,1008.1666666666666,67.66666666666667
Sri Lanka,Colombo,2024,7,28.650000000000002,82.14285714285714,4.477218357142857,1007.5357142857143,68.75
Sri Lanka,Colombo,2024,8,28.77741935483871,79.16129032258064,3.823507290322581,1008.1612903225806,75.0
Sri Lanka,Colombo,2024,9,31.15666666666667,71.2,4.509295333333333,1007.9,72.66666666666667
Sri Lanka,Colombo,2024,10,28.91290322580645,78.87096774193549,4.939107612903227,1008.1935483870968,67.25806451612904
Sri Lanka,Colombo,2024,11,29.216666666666665,75.0,4.746334266666667,1007.4,71.0
Sri Lanka,Colombo,2024,12,29.60967741935484,70.16129032258064,4.912225677419355,1007.6774193548387,74.35483870967742
Sri Lanka,Colombo,2025,1,29.206451612903226,72.12903225806451,4.517061225806453,1007.741935483871,73.54838709677419
Sri Lanka,Colombo,2025,2,31.928571428571427,61.0,4.732180714285714,1008.6428571428571,74.28571428571429
Sri Lanka,Colombo,2025,3,31.451612903225808,68.25806451612904,4.515269096774195,1008.2258064516129,75.48387096774194
Sri Lanka,Colombo,2025,4,31.943333333333335,71.9,4.170403733333334,1008.1666666666666,75.0
Sri Lanka,Colombo,2025,5,30.970967741935485,77.35483870967742,5.957036903225807,1007.3225806451613,65.3225806451613
Sri Lanka,Colombo,2025,6,30.526666666666664,77.93333333333334,6.075974533333334,1008.2,62.5
Sri Lanka,Colombo,2025,7,31.380000000000003,75.2,5.3444872000000005,1008.8,67.0
