Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Sudan,Juba,2024,5,38.747058823529414,12.058823529411764,4.361146,1006.4117647058823,77.05882352941177
Sudan,Juba,2024,6,37.241379310344826,22.75862068965517,3.455008482758621,1006.9310344827586,78.27586206896552
Sudan,Juba,2024,7,32.6551724137931,39.206896551724135,4.552718413793104,1009.1724137931035,75.17241379310344
Sudan,Juba,2024,8,28.9,56.32258064516129,5.042155032258065,1010.516129032258,73.38709677419355
Sudan,Juba,2024,9,30.216666666666665,48.8,2.7000216,1011.0666666666667,80.16666666666667
Sudan,Juba,2024,10,30.16774193548387,33.54838709677419,4.590538516129033,1012.6774193548387,76.45161290322581
Sudan,Juba,2024,11,26.683333333333334,18.033333333333335,8.61118,1014.4,82.0
Sudan,Juba,2024,12,26.651612903225807,15.387096774193548,8.112968129032259,1015.1612903225806,84.83870967741936
Sudan,Juba,2025,1,26.16774193548387,15.0,8.813690580645163,1014.9677419354839,84.83870967741936
Sudan,Juba,2025,2,28.50714285714286,11.607142857142858,8.611180000000001,1012.9285714285714,77.85714285714286
Sudan,Juba,2025,3,29.809677419354838,10.193548387096774,8.63178948387097,1012.4516129032259,78.38709677419355
Sudan,Juba,2025,4,32.693333333333335,14.333333333333334,6.4889408,1010.7,72.66666666666667
Sudan,Juba,2025,5,33.229032258064514,14.32258064516129,5.382659548387097,1011.3548387096774,74.19354838709677
Sudan,Juba,2025,6,32.440000000000005,30.766666666666666,4.593555266666667,1011.6,77.33333333333333
Sudan,Juba,2025,7,29.48,46.4,4.4944804000000005,1013.2,78.0
