Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Sudan,Khartoum,2024,5,41.63529411764706,8.352941176470589,3.959182,1004.8235294117648,77.05882352941177
Sudan,Khartoum,2024,6,40.89,17.7,5.3009683333333335,1004.6666666666666,73.0
Sudan,Khartoum,2024,7,36.40714285714286,32.357142857142854,6.753030214285715,1007.2142857142857,68.57142857142857
Sudan,Khartoum,2024,8,31.64516129032258,49.74193548387097,5.700762451612904,1008.9677419354839,70.0
Sudan,Khartoum,2024,9,35.84,32.2,3.9916986000000003,1008.3,75.33333333333333
Sudan,Khartoum,2024,10,34.983870967741936,22.322580645161292,5.047531419354839,1009.8709677419355,74.19354838709677
Sudan,Khartoum,2024,11,28.573333333333334,23.7,6.862091933333334,1013.3,77.0
Sudan,Khartoum,2024,12,27.87741935483871,23.64516129032258,6.059188258064517,1014.1612903225806,82.90322580645162
Sudan,Khartoum,2025,1,26.629032258064516,22.64516129032258,6.519765419354839,1014.258064516129,84.83870967741936
Sudan,Khartoum,2025,2,29.010714285714283,19.142857142857142,6.888944,1012.5,77.85714285714286
Sudan,Khartoum,2025,3,30.335483870967742,12.870967741935484,6.465105483870968,1011.9354838709677,79.03225806451613
Sudan,Khartoum,2025,4,34.86666666666667,10.666666666666666,6.425051400000001,1008.9,71.66666666666667
Sudan,Khartoum,2025,5,36.438709677419354,8.32258064516129,5.862054064516129,1009.0645161290323,73.2258064516129
Sudan,Khartoum,2025,6,36.85666666666667,10.566666666666666,5.044484800000001,1009.1,74.33333333333333
Sudan,Khartoum,2025,7,34.18,34.8,7.0611676,1010.8,70.0
