Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Suriname,Paramaribo,2024,5,28.61764705882353,79.52941176470588,2.81048,1013.2941176470588,73.82352941176471
Suriname,Paramaribo,2024,6,28.406896551724138,79.72413793103448,2.3228155172413794,1013.7241379310345,77.24137931034483
Suriname,Paramaribo,2024,7,26.351724137931036,84.75862068965517,2.2433129655172417,1014.6551724137931,82.06896551724138
Suriname,Paramaribo,2024,8,26.693548387096776,79.06451612903226,2.7571905161290324,1014.2903225806451,91.12903225806451
Suriname,Paramaribo,2024,9,26.08,85.6,3.0490984666666665,1011.9333333333333,89.66666666666667
Suriname,Paramaribo,2024,10,24.33225806451613,96.06451612903226,2.7607747741935484,1010.516129032258,84.35483870967742
Suriname,Paramaribo,2024,11,24.12,95.43333333333334,2.782429666666667,1009.3333333333334,84.33333333333333
Suriname,Paramaribo,2024,12,23.6,94.90322580645162,2.458801032258065,1011.3225806451613,78.54838709677419
Suriname,Paramaribo,2025,1,22.85666666666667,96.4,2.4805754,1011.8666666666667,79.0
Suriname,Paramaribo,2025,2,23.260714285714283,97.03571428571429,2.633949642857143,1011.1785714285714,83.57142857142857
Suriname,Paramaribo,2025,3,23.432258064516127,96.16129032258064,2.6120280645161293,1011.6451612903226,81.12903225806451
Suriname,Paramaribo,2025,4,23.873333333333335,95.76666666666667,2.5500204,1011.2,76.33333333333333
Suriname,Paramaribo,2025,5,24.009677419354837,98.61290322580645,2.112920129032258,1011.741935483871,77.90322580645162
Suriname,Paramaribo,2025,6,23.966666666666665,96.66666666666667,2.4018710666666667,1012.5666666666667,81.0
Suriname,Paramaribo,2025,7,23.44,94.0,2.4000192,1013.8,73.0
