Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Switzerland,Bern,2024,5,16.88235294117647,68.17647058823529,2.7467539999999997,1012.8823529411765,70.58823529411765
Switzerland,Bern,2024,6,21.936666666666667,60.2,2.9842831333333333,1014.5666666666667,81.66666666666667
Switzerland,Bern,2024,7,25.517857142857142,52.785714285714285,2.2262082857142858,1015.7857142857143,84.82142857142857
Switzerland,Bern,2024,8,25.716129032258067,54.45161290322581,2.2446416129032256,1016.4193548387096,88.38709677419355
Switzerland,Bern,2024,9,17.076666666666664,71.53333333333333,2.6777992000000004,1016.0,75.16666666666667
Switzerland,Bern,2024,10,13.52258064516129,80.38709677419355,1.5277900000000004,1017.8709677419355,70.80645161290323
Switzerland,Bern,2024,11,5.193333333333333,85.66666666666667,1.637976066666667,1022.9333333333333,68.16666666666667
Switzerland,Bern,2024,12,3.332258064516129,78.35483870967742,1.688185548387097,1024.5483870967741,69.51612903225806
Switzerland,Bern,2025,1,3.0677419354838706,81.7741935483871,1.996431741935484,1018.0967741935484,69.6774193548387
Switzerland,Bern,2025,2,4.157142857142857,79.07142857142857,1.4008048571428573,1022.3214285714286,69.64285714285714
Switzerland,Bern,2025,3,7.6,71.38709677419355,1.6989383225806454,1015.3548387096774,73.06451612903226
Switzerland,Bern,2025,4,11.860000000000001,68.93333333333334,2.250018,1016.2333333333333,71.66666666666667
Switzerland,Bern,2025,5,14.73225806451613,70.16129032258064,2.0295861290322583,1016.8387096774194,71.7741935483871
Switzerland,Bern,2025,6,22.016666666666666,65.0,2.3777968,1020.3666666666667,85.83333333333333
Switzerland,Bern,2025,7,25.360000000000003,57.2,1.4000112000000002,1021.2,96.0
