Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Thailand,Nan,2024,5,28.288235294117644,83.11764705882354,1.831714,1005.8235294117648,79.70588235294117
Thailand,Nan,2024,6,28.175862068965518,85.79310344827586,1.664764275862069,1005.5862068965517,77.41379310344827
Thailand,Nan,2024,7,26.76551724137931,89.48275862068965,1.9138084137931035,1004.0344827586207,73.96551724137932
Thailand,Nan,2024,8,26.85483870967742,88.83870967741936,1.358433806451613,1005.9032258064516,76.12903225806451
Thailand,Nan,2024,9,28.459999999999997,82.63333333333334,1.3963074666666668,1004.2666666666667,76.33333333333333
Thailand,Nan,2024,10,29.861290322580647,72.03225806451613,1.2302965806451613,1007.6774193548387,70.0
Thailand,Nan,2024,11,29.970000000000002,57.93333333333333,1.204639266666667,1010.7333333333333,82.16666666666667
Thailand,Nan,2024,12,27.416129032258063,57.87096774193548,1.158611419354839,1010.9354838709677,90.48387096774194
Thailand,Nan,2025,1,28.11935483870968,41.193548387096776,1.490155290322581,1011.6774193548387,89.03225806451613
Thailand,Nan,2025,2,31.84642857142857,39.75,2.316486785714286,1009.8928571428571,82.14285714285714
Thailand,Nan,2025,3,35.29032258064516,34.61290322580645,2.9758302580645166,1007.1290322580645,80.0
Thailand,Nan,2025,4,34.919999999999995,46.733333333333334,2.6703917333333336,1006.4333333333333,77.0
Thailand,Nan,2025,5,32.23870967741935,61.74193548387097,1.9346032903225807,1005.483870967742,71.45161290322581
Thailand,Nan,2025,6,31.93,64.4,2.0213124666666666,1004.0333333333333,73.0
Thailand,Nan,2025,7,29.580000000000002,75.8,1.3055660000000002,1005.0,69.0
