Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Timor-Leste,Dili,2024,5,25.46470588235294,78.17647058823529,2.451,1011.9411764705883,91.76470588235294
Timor-Leste,Dili,2024,6,24.303448275862067,75.86206896551724,2.303658275862069,1013.3103448275862,97.58620689655173
Timor-Leste,Dili,2024,7,23.642857142857142,75.96428571428571,2.8432767142857145,1013.3928571428571,89.82142857142857
Timor-Leste,Dili,2024,8,24.09032258064516,75.51612903225806,2.6218847741935485,1013.4193548387096,97.09677419354838
Timor-Leste,Dili,2024,9,25.446666666666665,74.33333333333333,3.0222464,1011.5666666666667,86.5
Timor-Leste,Dili,2024,10,27.580645161290324,68.70967741935483,3.5609603870967748,1009.483870967742,81.7741935483871
Timor-Leste,Dili,2024,11,27.916666666666668,72.5,2.439834333333333,1008.1,71.5
Timor-Leste,Dili,2024,12,26.606451612903225,83.93548387096774,1.880839419354839,1007.4516129032259,67.74193548387096
Timor-Leste,Dili,2025,1,26.348387096774193,82.45161290322581,1.7061068387096776,1008.0645161290323,69.6774193548387
Timor-Leste,Dili,2025,2,26.228571428571428,83.64285714285714,2.7857365714285716,1008.5357142857143,65.0
Timor-Leste,Dili,2025,3,26.883870967741935,81.03225806451613,1.9874710967741935,1007.5483870967741,71.45161290322581
Timor-Leste,Dili,2025,4,26.45,78.46666666666667,1.7018654666666668,1008.7666666666667,76.83333333333333
Timor-Leste,Dili,2025,5,26.4741935483871,79.51612903225806,2.053779870967742,1009.1290322580645,74.19354838709677
Timor-Leste,Dili,2025,6,25.85666666666667,74.8,1.8833484,1010.8,84.5
Timor-Leste,Dili,2025,7,25.9,72.0,2.2833516000000005,1010.8,89.0
