Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Tonga,Nuku`Aloia,2024,5,23.64375,90.4375,3.2344008750000004,1014.4375,80.9375
Tonga,Nuku`Aloia,2024,6,22.43793103448276,82.3103448275862,3.855394827586207,1017.2413793103449,80.86206896551724
Tonga,Nuku`Aloia,2024,7,21.917241379310347,79.6896551724138,5.470350275862069,1016.7241379310345,72.24137931034483
Tonga,Nuku`Aloia,2024,8,21.364516129032257,79.7741935483871,4.951652516129032,1019.0967741935484,69.6774193548387
Tonga,Nuku`Aloia,2024,9,21.106451612903225,91.16129032258064,5.283196387096774,1017.483870967742,63.225806451612904
Tonga,Nuku`Aloia,2024,10,22.92258064516129,91.03225806451613,7.798449483870969,1016.741935483871,71.93548387096774
Tonga,Nuku`Aloia,2024,11,23.663333333333334,91.4,7.8972854,1016.1333333333333,72.5
Tonga,Nuku`Aloia,2024,12,25.283870967741933,88.61290322580645,6.7285484516129035,1011.8709677419355,71.93548387096774
Tonga,Nuku`Aloia,2025,1,24.86774193548387,92.48387096774194,4.970469870967743,1011.8064516129032,78.06451612903226
Tonga,Nuku`Aloia,2025,2,26.12142857142857,91.39285714285714,6.505012357142858,1011.5,78.03571428571429
Tonga,Nuku`Aloia,2025,3,25.641935483870967,92.96774193548387,4.839644451612904,1013.258064516129,79.6774193548387
Tonga,Nuku`Aloia,2025,4,25.706666666666667,90.4,7.651913066666667,1013.9666666666667,73.66666666666667
Tonga,Nuku`Aloia,2025,5,23.648387096774194,91.12903225806451,8.134473677419356,1015.741935483871,66.61290322580645
Tonga,Nuku`Aloia,2025,6,22.35666666666667,90.8,7.679691066666667,1017.1666666666666,65.0
Tonga,Nuku`Aloia,2025,7,21.82,87.6,10.083414000000001,1020.4,62.0
