Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Tunisia,Tunis,2024,5,28.01764705882353,41.588235294117645,5.4739,1012.2352941176471,84.70588235294117
Tunisia,Tunis,2024,6,30.14333333333333,41.6,5.6028226000000005,1013.9333333333333,78.66666666666667
Tunisia,Tunis,2024,7,34.21785714285714,36.92857142857143,5.459369071428571,1013.2857142857143,75.35714285714286
Tunisia,Tunis,2024,8,34.63225806451613,37.87096774193548,4.339640451612904,1012.5483870967741,77.09677419354838
Tunisia,Tunis,2024,9,30.183333333333334,47.46666666666667,4.487072933333334,1014.2333333333333,85.0
Tunisia,Tunis,2024,10,25.14516129032258,64.3225806451613,3.6451904516129034,1017.9032258064516,90.0
Tunisia,Tunis,2024,11,19.696666666666665,69.1,2.9824312666666666,1021.4,80.83333333333333
Tunisia,Tunis,2024,12,15.403225806451612,66.58064516129032,5.367426451612904,1023.0322580645161,67.74193548387096
Tunisia,Tunis,2025,1,16.026666666666667,64.16666666666667,4.497258200000001,1020.5333333333333,72.83333333333333
Tunisia,Tunis,2025,2,15.517857142857142,73.92857142857143,3.5397108571428575,1022.25,71.96428571428571
Tunisia,Tunis,2025,3,17.929032258064513,66.38709677419355,4.470465870967742,1014.5806451612904,75.64516129032258
Tunisia,Tunis,2025,4,19.256666666666668,63.36666666666667,3.8139194000000005,1015.7666666666667,77.5
Tunisia,Tunis,2025,5,22.748387096774195,59.645161290322584,4.016161161290323,1015.741935483871,87.25806451612904
Tunisia,Tunis,2025,6,29.43103448275862,49.37931034482759,3.497154413793104,1017.5862068965517,82.75862068965517
Tunisia,Tunis,2025,7,30.419999999999998,56.0,1.8444592000000004,1016.8,80.0
