Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Turkmenistan,Ashgabat,2024,5,24.941176470588236,45.88235294117647,4.205916,1014.8235294117648,80.58823529411765
Turkmenistan,Ashgabat,2024,6,35.35,20.766666666666666,4.460220866666666,1007.5666666666667,73.33333333333333
Turkmenistan,Ashgabat,2024,7,37.489285714285714,19.571428571428573,4.335352142857143,1004.3571428571429,74.28571428571429
Turkmenistan,Ashgabat,2024,8,36.57741935483871,19.258064516129032,4.059172258064517,1007.6451612903226,76.12903225806451
Turkmenistan,Ashgabat,2024,9,30.040000000000003,18.466666666666665,3.9833652000000006,1013.9,82.0
Turkmenistan,Ashgabat,2024,10,21.951612903225808,44.483870967741936,3.617412451612904,1017.1612903225806,81.61290322580645
Turkmenistan,Ashgabat,2024,11,15.1,56.03333333333333,2.9379864666666666,1020.4,76.66666666666667
Turkmenistan,Ashgabat,2024,12,9.138709677419355,52.41935483870968,3.2186637419354844,1023.3225806451613,75.96774193548387
Turkmenistan,Ashgabat,2025,1,9.219354838709679,56.87096774193548,2.576185483870968,1024.4516129032259,76.61290322580645
Turkmenistan,Ashgabat,2025,2,8.028571428571428,61.464285714285715,3.1141122142857145,1020.1071428571429,74.28571428571429
Turkmenistan,Ashgabat,2025,3,17.93548387096774,41.41935483870968,3.1783408387096777,1019.1935483870968,80.64516129032258
Turkmenistan,Ashgabat,2025,4,26.613333333333333,33.266666666666666,4.526888066666667,1013.7333333333333,81.83333333333333
Turkmenistan,Ashgabat,2025,5,31.138709677419353,25.258064516129032,4.326199483870968,1012.1290322580645,79.6774193548387
Turkmenistan,Ashgabat,2025,6,33.00333333333334,24.066666666666666,4.509295333333333,1009.8333333333334,76.33333333333333
Turkmenistan,Ashgabat,2025,7,35.0,26.6,2.9778016000000003,1005.6,78.0
