Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Uganda,Kampala,2024,5,26.105882352941176,66.52941176470588,4.647096,1015.6470588235294,89.11764705882354
Uganda,Kampala,2024,6,25.89333333333333,64.13333333333334,5.335227866666667,1015.9,93.66666666666667
Uganda,Kampala,2024,7,26.75,50.785714285714285,3.9891192142857146,1013.2142857142857,94.28571428571429
Uganda,Kampala,2024,8,26.529032258064515,45.70967741935484,3.7670552258064522,1011.0322580645161,90.3225806451613
Uganda,Kampala,2024,9,27.413333333333334,51.5,3.131506533333334,1012.7666666666667,84.83333333333333
Uganda,Kampala,2024,10,27.148387096774194,54.67741935483871,2.026897935483871,1013.9032258064516,86.61290322580645
Uganda,Kampala,2024,11,24.506666666666668,70.73333333333333,1.9166820000000002,1015.6333333333333,81.66666666666667
Uganda,Kampala,2024,12,27.251612903225805,52.74193548387097,2.3261834838709676,1012.8064516129032,85.96774193548387
Uganda,Kampala,2025,1,27.874193548387098,53.0,2.3064700645161293,1014.3870967741935,87.25806451612904
Uganda,Kampala,2025,2,30.139285714285712,44.25,3.738125142857143,1012.5,80.35714285714286
Uganda,Kampala,2025,3,26.5,62.45161290322581,2.7849685161290325,1015.6774193548387,85.48387096774194
Uganda,Kampala,2025,4,24.116666666666667,75.56666666666666,2.368537466666667,1016.7,83.16666666666667
Uganda,Kampala,2025,5,24.490322580645163,74.3225806451613,2.714179419354839,1019.0322580645161,83.06451612903226
Uganda,Kampala,2025,6,24.529999999999998,71.36666666666666,3.0481725333333336,1019.6,85.5
Uganda,Kampala,2025,7,22.7,83.0,2.3389076,1020.8,71.0
