Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
United Arab Emirates,Abu Dhabi,2024,5,35.35294117647059,39.23529411764706,4.410166,1002.7058823529412,76.47058823529412
United Arab Emirates,Abu Dhabi,2024,6,37.61333333333334,43.56666666666667,5.4222656,997.7666666666667,74.0
United Arab Emirates,Abu Dhabi,2024,7,37.50344827586206,51.172413793103445,5.71173151724138,993.8965517241379,73.79310344827586
United Arab Emirates,Abu Dhabi,2024,8,37.63870967741936,55.03225806451613,5.382659548387097,996.9032258064516,72.25806451612904
United Arab Emirates,Abu Dhabi,2024,9,38.88,38.63333333333333,4.6194814,1002.0,75.66666666666667
United Arab Emirates,Abu Dhabi,2024,10,32.270967741935486,52.935483870967744,4.32440735483871,1009.6774193548387,77.41935483870968
United Arab Emirates,Abu Dhabi,2024,11,29.083333333333332,55.833333333333336,3.915772066666667,1014.5,80.66666666666667
United Arab Emirates,Abu Dhabi,2024,12,24.164516129032258,53.38709677419355,4.778712064516129,1016.741935483871,90.3225806451613
United Arab Emirates,Abu Dhabi,2025,1,23.296774193548387,47.67741935483871,5.479434516129033,1017.6451612903226,93.2258064516129
United Arab Emirates,Abu Dhabi,2025,2,25.42142857142857,47.714285714285715,5.236153000000001,1015.25,88.57142857142857
United Arab Emirates,Abu Dhabi,2025,3,29.470967741935485,32.064516129032256,4.715091483870968,1014.2258064516129,82.25806451612904
United Arab Emirates,Abu Dhabi,2025,4,36.04666666666667,21.933333333333334,4.196329866666667,1009.4666666666667,76.66666666666667
United Arab Emirates,Abu Dhabi,2025,5,39.245161290322585,25.64516129032258,5.267067225806452,1003.7741935483871,75.16129032258064
United Arab Emirates,Abu Dhabi,2025,6,38.21,36.36666666666667,5.102818600000001,999.5,75.66666666666667
United Arab Emirates,Abu Dhabi,2025,7,38.9,38.8,4.8222608000000005,995.8,74.0
