Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
United Kingdom,London,2024,5,17.058823529411764,65.47058823529412,4.372584000000001,1011.6470588235294,65.58823529411765
United Kingdom,London,2024,6,19.71034482758621,50.10344827586207,4.936821103448277,1014.1034482758621,77.58620689655173
United Kingdom,London,2024,7,20.95357142857143,60.32142857142857,4.234160857142857,1013.6785714285714,78.03571428571429
United Kingdom,London,2024,8,22.38064516129032,55.25806451612903,4.819931032258065,1013.4516129032259,79.51612903225806
United Kingdom,London,2024,9,17.209999999999997,73.36666666666666,4.404664866666667,1013.8666666666667,68.83333333333333
United Kingdom,London,2024,10,12.86774193548387,86.74193548387096,3.5905305161290326,1014.0645161290323,62.41935483870968
United Kingdom,London,2024,11,8.133333333333333,87.36666666666666,3.240766666666667,1019.7666666666667,63.666666666666664
United Kingdom,London,2024,12,7.635483870967741,86.16129032258064,4.425662645161291,1022.1290322580645,60.483870967741936
United Kingdom,London,2025,1,4.490322580645161,88.25806451612904,3.207910967741936,1013.3548387096774,64.35483870967742
United Kingdom,London,2025,2,5.846428571428571,86.5,3.742093428571429,1021.3214285714286,62.32142857142857
United Kingdom,London,2025,3,8.46774193548387,76.74193548387096,3.0376587096774195,1017.4193548387096,71.12903225806451
United Kingdom,London,2025,4,11.92,68.56666666666666,3.8231787333333336,1017.6333333333333,75.5
United Kingdom,London,2025,5,14.958064516129031,66.80645161290323,4.217775677419355,1018.2258064516129,74.83870967741936
United Kingdom,London,2025,6,18.81,69.13333333333334,4.240774666666667,1016.6666666666666,74.16666666666667
United Kingdom,London,2025,7,20.619999999999997,62.6,2.6777992000000004,1020.2,79.0
