Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
United States of America,Washington Harbor,2024,5,9.2,92.0,1.11112,1023.0,65.0
United States of America,Washington Harbor,2024,6,10.727586206896552,87.6896551724138,2.438716827586207,1016.3103448275862,66.89655172413794
United States of America,Washington Harbor,2024,7,11.292592592592591,94.92592592592592,2.8354136296296297,1017.9629629629629,62.77777777777778
United States of America,Washington Harbor,2024,8,11.361290322580645,91.70967741935483,1.9157859354838709,1017.1612903225806,64.51612903225806
United States of America,Washington Harbor,2024,9,11.176666666666668,96.33333333333333,1.8463110666666667,1016.1666666666666,64.83333333333333
United States of America,Washington Harbor,2024,10,8.506666666666666,93.66666666666667,1.7861254000000002,1017.6333333333333,63.5
United States of America,Washington Harbor,2024,11,6.755172413793104,93.93103448275862,2.5076828965517244,1013.3793103448276,60.0
United States of America,Washington Harbor,2024,12,5.880645161290323,93.16129032258064,2.2885487741935484,1015.1935483870968,63.225806451612904
United States of America,Washington Harbor,2025,1,3.7866666666666666,89.86666666666666,1.4953823333333334,1027.4,65.83333333333333
United States of America,Washington Harbor,2025,2,3.132142857142857,92.14285714285714,2.5426790714285716,1016.3928571428571,64.28571428571429
United States of America,Washington Harbor,2025,3,6.248387096774193,93.54838709677419,2.0797657419354842,1011.8064516129032,62.903225806451616
United States of America,Washington Harbor,2025,4,7.91,84.53333333333333,2.5537241333333336,1019.9,70.5
United States of America,Washington Harbor,2025,5,9.493333333333334,84.86666666666666,2.5324276666666665,1018.0333333333333,67.66666666666667
United States of America,Washington Harbor,2025,6,10.99,86.4,2.6509471333333336,1018.3666666666667,69.0
United States of America,Washington Harbor,2025,7,11.9,83.0,3.916698000000001,1017.0,71.0
