Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Vanuatu,Port Vila,2024,5,23.175,88.5,3.019121375,1013.4375,73.125
Vanuatu,Port Vila,2024,6,22.736666666666668,90.73333333333333,2.2953887333333336,1014.6666666666666,76.66666666666667
Vanuatu,Port Vila,2024,7,22.57241379310345,84.79310344827586,3.522058827586207,1015.0,72.58620689655173
Vanuatu,Port Vila,2024,8,21.532258064516128,85.12903225806451,4.336056193548387,1017.5806451612904,68.06451612903226
Vanuatu,Port Vila,2024,9,22.503333333333334,89.7,4.398183333333334,1015.7,76.33333333333333
Vanuatu,Port Vila,2024,10,23.483870967741936,88.64516129032258,5.319038967741935,1013.9354838709677,77.90322580645162
Vanuatu,Port Vila,2024,11,24.91,89.4,5.507451466666667,1012.5666666666667,75.83333333333333
Vanuatu,Port Vila,2024,12,26.019354838709678,87.38709677419355,3.775119806451613,1009.6451612903226,77.74193548387096
Vanuatu,Port Vila,2025,1,25.51290322580645,93.3225806451613,3.5215335483870973,1009.0322580645161,80.16129032258064
Vanuatu,Port Vila,2025,2,26.50357142857143,91.57142857142857,5.347265,1007.4642857142857,73.21428571428571
Vanuatu,Port Vila,2025,3,25.874193548387098,93.16129032258064,3.767951290322581,1011.5483870967741,79.19354838709677
Vanuatu,Port Vila,2025,4,25.936666666666667,92.23333333333333,3.6009547333333334,1009.9,79.0
Vanuatu,Port Vila,2025,5,24.458064516129035,91.09677419354838,5.741981419354839,1012.516129032258,74.35483870967742
Vanuatu,Port Vila,2025,6,23.716666666666665,89.83333333333333,5.4333768000000005,1014.0666666666667,69.33333333333333
Vanuatu,Port Vila,2025,7,24.48,92.0,5.2389308,1014.4,79.0
